'di ba|diba|dibá	<i>phrase</i><br><ol><li>Contraction of hindi ba: isn't it; isn't that</li></ol>
supot|supót	<i>noun</i><br><ol><li>bag (of paper, plastic, cloth, etc.)</li><li>small money bag</li><li>pocket; small bag or pitch (especially on the holes of a billiards table)</li><li>uncircumcised male</li><li>condition of being uncircumcised</li></ol><br><i>adj</i><br><ol><li>uncircumcised</li></ol>
suprema	<i>adj</i><br><ol><li>supreme</li></ol>
supremo|suprema	<i>noun</i><br><ol><li>highest ruler or officer</li></ol>
supsop|supsóp	<i>noun</i><br><ol><li>act of sucking using the mouth</li></ol>
sur	<i>noun</i><br><ol><li>south (compass point)</li></ol>
suri|surì	<i>noun</i><br><ol><li>analysis; careful study or examination</li><li>physical examination (by a physician)</li><li>shirr (made in cloth or garments)</li><li>shirring; making of shirrs (in cloth or garments)</li></ol>
surian|inasurian|asurian|susurian|suri|sinusurian|surián|surii|sinurian	<i>noun</i><br><ol><li>institute</li><li>place where analysis or investigation is being done</li><li>place where gold ore and other metals are assayed</li></ol><br><i>verb</i><br><ol><li>to make shirrings (in cloth or garments)</li></ol>
surimbangkay|súrimbangkáy	<i>noun</i><br><ol><li>autopsy</li></ol>
surot	<i>noun</i><br><ol><li>bedbug</li><li>reprimand accompanied by an accusing finger</li><li>poking with a finger at someone's eye</li><li>shoving of something at someone's face</li><li>making of a flaunting remark about a debt of gratitude (at someone)</li><li>a species of first-class rice (the unhusked grains of which have feeler-like projections at one end)</li></ol>
sushi	<i>noun</i><br><ol><li>sushi (Japanese dish)</li></ol>
susi|susì	<i>noun</i><br><ol><li>key</li><li>(colloquial) answer; solution (to a puzzle, problem, etc.)</li><li>minuteness; detailedness</li></ol>
susian|susii|susi|inasusian|sinusian|sinususian|susián|sususian|asusian	<i>noun</i><br><ol><li>keyhole</li><li>place where the lock is attached (on a door, window, drawer, etc.)</li></ol><br><i>verb</i><br><ol><li>to lock with a key</li><li>to padlock</li></ol>
susmaryosep	<i>intj</i><br><ol><li>(colloquial) Used as an exclamation of vexation, surprise, disappointment, or fear.</li></ol>
suso|susô	<i>noun</i><br><ol><li>(anatomy) breast</li><li>suckling from the breast; nursing; breastfeeding</li><li>(anatomy) nipple; teat; udder</li><li>any of the four projections at the bottom corners (of a sack, basket, etc.)</li><li>snail (especially river snails with a cornucopia-like shell)</li><li>setting on fire (especially of fireworks)</li><li>(colloquial) instigation</li></ol>
susog	<i>noun</i><br><ol><li>amendment</li><li>tracking or following of the trail or track</li><li>cut made on the bias or obliquely (of clothes, edge of wood, etc.)</li><li>inquiry for facts or truth</li></ol>
suson|susón	<i>noun</i><br><ol><li>underlayer; extra layer; reinforcing layer</li><li>lining (of dress, etc.)</li><li>undergarment</li></ol>
susop|susóp	<i>adj</i><br><ol><li>pressed for time; lacking in time</li></ol>
susot|susót	<i>adj</i><br><ol><li>fed up; exasperated</li></ol>
suspek	<i>noun</i><br><ol><li>suspect (especially in committing a crime)</li></ol>
suspende|suspendé	<i>noun</i><br><ol><li>act of suspending (of classes, work, etc.)</li></ol>
suspendido	<i>adj</i><br><ol><li>suspended; under suspension</li><li>stopped made to stop</li></ol>
suspensiyon|suspensiyón|suspensyón|suspensyon	<i>noun</i><br><ol><li>suspension; stopping (of classes, etc.)</li></ol>
sustansiya|sustansya|sustánsiyá	<i>noun</i><br><ol><li>nutrients; nutriments</li><li>wound made by a butt with horns</li><li>substance; matter</li></ol>
sustento	<i>noun</i><br><ol><li>alimony; support</li><li>provision of sustenance or support</li></ol>
susugan|pinagsususugan|kapagpapasusog|makikipagsusog|nakikipagpasusog|pinapagsusugan|kasususog|ipapagsusog|pinasusugan|nagasusog|pinagpapasususugan|nakisusog|papagsusugin|pinapasusugan|pinapagpasusugan|nagsususog|ipinapagpasusog|ikinakapagpasusog|kakasusog|pinagsusugan|ipinagsusog|kakapasusog|ipagpapasusog|nagpasusog|pasusugan|magsususog|ikapagpasusog|ipagsusog|pagsususugan|sinususugan|sinusugan|magsusog|makipagsusog|pasususugan|ikakapagsusog|ikapagpapasusog|ipagpasusog|papagsusugan|ipinagpasusog|pinapapagsusugan|ipapagpasusog|magasusog|kapapasusog|nakikisusog|pagpapasususugan|ikapagsususog|inasusugan|ikinakapagsusog|ikinapagpasusog|ipinapagsusog|papasusugan|ipinagpapasusog|sususugan|kapagsususog|gasusog|nakikipagsusog|ikinapagsusog|⁠kapasususog|ipinansusog|nakipagpasusog|kakapagsusog|makisusog|ipinapansusog|pinapagsusog|susog|magpapasusog|makikipagpasusog|ipapansusog|pagsusugan|pinapapagsusog|nagpapasusog|asusugan|pinagpasusugan|ikakapagpasusog|makikisusog|pinasususugan|ipansusog|papapagsusugan|papagpasusugan|makipagpasusog|nagsusog|kapapagsusog|ikinapagpapasusog|papapagsusugin|pagpasusugan|nakipagsusog|magpasusog|ikapagsusog|ikinapagsususog	<i>verb</i><br><ol><li>to amend</li><li>to follow the path of someone or something chased</li><li>to add something to</li></ol>
susulbot|susulbót	<i>noun</i><br><ol><li>kingfisher, especially a subspecies of the common kingfisher (Alcedo atthis bengalensis)</li></ol>
susunod|susunód	<i>verb</i><br><ol><li>contemplative aspect of sumunod</li></ol><br><i>adj</i><br><ol><li>next (in the future context)</li></ol>
susuwi|susuwî	<i>noun</i><br><ol><li>needlefish</li></ol>
sutil|sutíl	<i>adj</i><br><ol><li>stubborn; hardheaded</li><li>refractory; not yielding to treatment (of an illness)</li><li>subtle; profound; cunning</li></ol>
sutla|sutlâ	<i>noun</i><br><ol><li>silk</li></ol><br><i>adj</i><br><ol><li>made of silk</li></ol>
suuban|suubán	<i>noun</i><br><ol><li>censer; thurible</li></ol>
suwabe|swabe	<i>adj</i><br><ol><li>soft; slow</li><li>smooth; soft</li><li>gentle</li></ol>
suwag|suwág	<i>noun</i><br><ol><li>bunt; butt with horns</li><li>wound made by a butt with horns</li><li>(colloquial) fighting back (especially against a benefactor)</li></ol>
suwahe	<i>noun</i><br><ol><li>greasyback shrimp; sand shrimp (Metapenaeus ensis)</li></ol>
suwail|suwaíl	<i>adj</i><br><ol><li>disobedient; stubborn; hardheaded</li><li>insubordinate; insolent; rebellious</li><li>traitorous; disloyal</li><li>ungrateful</li></ol>
suwak|súwak	<i>noun</i><br><ol><li>the state of being split</li><li>the state of showing half of the body through a window</li><li>the splashing of water when bathing</li><li>the act of digging up something that others have buried</li></ol>
suwapang	<i>adj</i><br><ol><li>greedy; covetous; avaricious</li><li>(slang) graft-ridden</li></ol>
suway|suwáy	<i>noun</i><br><ol><li>disobedience; refusal to obey (an order, command, etc.)</li><li>violation of an ordinance, law, etc.</li></ol>
suwelas	<i>noun</i><br><ol><li>sole (of footwear)</li></ol>
suweldo	<i>noun</i><br><ol><li>salary; wage</li><li>(by extension) payday</li></ol>
suwero	<i>noun</i><br><ol><li>long, large hypodermic needle</li><li>serum; blood serum</li></ol>
suwerte|suerte|swerte	<i>noun</i><br><ol><li>luck; good luck</li><li>fate; fortune</li></ol><br><i>adj</i><br><ol><li>lucky; fortunate</li></ol>
suweter	<i>noun</i><br><ol><li>sweater (knitted or crocheted outer garment)</li></ol>
suwitik	<i>adj</i><br><ol><li>cunning; sly; tricky; artful</li></ol><br><i>noun</i><br><ol><li>swindler; cheat</li></ol>
suya|suyà|suyâ	<i>noun</i><br><ol><li>surfeit; condition of being fed to satiety or excess</li><li>annoyance; condition of being fed up</li></ol><br><i>adj</i><br><ol><li>fed to satiety or excess</li><li>fed up; annoyed; disgusted</li></ol>
suyod|suyód	<i>noun</i><br><ol><li>fine-toothed comb for removing lice and nits</li><li>catching of lice using such a comb</li><li>(agriculture) harrow</li><li>(agriculture) harrowing of a plowed or cultivated field|</li><li>(sewing) shuttle</li><li>currycomb (for horses, cattle, etc.)</li><li>(figuratively) combing of a place (to search for something)</li></ol><br><i>adj</i><br><ol><li>already harrowed (of a cultivated field)</li><li>(figuratively) thoroughly combed or searched (of a place)</li></ol>
sya	<i>pron</i><br><ol><li>Contraction of siya.</li></ol>
syota|siyotà|syotà|siyota	<i>noun</i><br><ol><li>(colloquial, slang) girlfriend; boyfriend</li></ol>
ta|ᜆ	<i>noun</i><br><ol><li>The name of the Latin-script letter T, in the abakada alphabet.</li></ol><br><i>pron</i><br><ol><li>(archaic) by both you and I; by us two; of both you and I; of us two</li></ol>
taad|taád	<i>noun</i><br><ol><li>sugarcane cutting for planting</li></ol>
taal|taál|ᜆᜀᜎ᜔	<i>adj</i><br><ol><li>native; aborigine; indigenous</li><li>natural; inborn</li></ol><br><i>noun</i><br><ol><li>Moluccan ironwood, a species of tree (Intsia bijuga)</li></ol>
taan|taan|taán|ᜆᜀᜈ᜔	<i>noun</i><br><ol><li>reserve (for future use)</li><li>act of reserving (for future use)</li><li>(fishing) a type of fish trap made of a barricade of stones and split bamboo (for catching fish in coral reefs)</li><li>(fishing) long lines for inland water fishing</li><li>(fishing) act of setting up such a fish trap</li></ol>
taas|taás	<i>noun</i><br><ol><li>height (distance from the base of something to the top)</li><li>altitude; elevation above a given level</li><li>height; stature (of a standing person, animal, etc.)</li><li>level; amount (of prices)</li><li>promotion (in one's position or office)</li><li>(figuratively) aloftness; highness (of a person when dealing with others)</li><li>(figuratively) eminence; nobility</li><li>(colloquial) Alternative form of itaas</li></ol><br><i>verb</i><br><ol><li>immediate imperative mood of itaas</li><li>immediate imperative mood of magtaas</li></ol>
tab-ang|tab-áng	<i>noun</i><br><ol><li>(dialectal, Batangas) Alternative form of tabang</li></ol><br><i>adj</i><br><ol><li>(dialectal, Batangas) Alternative form of tabang</li></ol>
taba|tabâ	<i>noun</i><br><ol><li>fat (specialized animal tissue)</li><li>fatness (of a person, animal, etc.)</li><li>lard (fat from pig abdomen)</li><li>(figuratively) fertility (of soil)</li><li>(colloquial) fat person; fatso</li></ol>
tabad|tabád	<i>noun</i><br><ol><li>water added to dilute an alcoholic drink (especially tuba)</li><li>act of adding water to dilute an alcoholic drink (especially tuba)</li><li>bloodletting; phlebotomy</li></ol>
tabag	<i>noun</i><br><ol><li>something added to make up for what was lost, consumed, used up, or spoiled (in the process or cooking or manufacturing)</li></ol>
tabak|tabák	<i>noun</i><br><ol><li>cutlass; bolo (a Philippine style of machete)</li><li>hacking with such a weapon</li><li>big cut or wound made by such a weapon</li></ol>
tabako	<i>noun</i><br><ol><li>tobacco (plant or leaves)</li><li>cigar</li></ol>
tabal	<i>adj</i><br><ol><li>excessively leafy; excessive in foliage (resulting in fruitlessness or sterility in plants)</li></ol><br><i>noun</i><br><ol><li>excessive growth of foliage (resulting in fruitlessness or sterility in plants)</li></ol>
taban	<i>adj</i><br><ol><li>held or grasped to maintain equilibrium or to avoid falling</li></ol><br><i>noun</i><br><ol><li>act of holding onto something (to keep oneself or something from falling)</li><li>something held onto (to keep oneself or something from falling)</li></ol>
tabang|tabáng	<i>noun</i><br><ol><li>blandness; tastelessness</li><li>loss of appetite (for food)</li><li>loss of interest in</li></ol><br><i>adj</i><br><ol><li>fresh; not salty (of freshwater)</li><li>freshwater (of fish, etc.)</li></ol>
tabas|tabás	<i>noun</i><br><ol><li>cut; style of cut (of cloth, paper, dress, etc.)</li><li>act of cutting according to a pattern or design (of cloth, paper, dress, etc.)</li><li>(by extension) general features (of one's face)</li><li>cutting down of excessive growth of grass, weeds, etc. (as with a cutlass, bolo, etc.)</li><li>harvesting by cutting down with a bolo, etc. (of sugarcane, corn, etc.)</li><li>moonfish (Mene maculata)</li></ol><br><i>adj</i><br><ol><li>cut according to a pattern or design</li><li>cut down with a cutlass, bolo, etc. (of excessive growth or grass, weeds, etc.)</li><li>harvested and ready for milling (of sugarcane, corn, etc.)</li></ol>
tabatsing|tabatsíng	<i>adj</i><br><ol><li>(endearing or humorous, sometimes derogatory) chubby; fat; obese</li></ol><br><i>noun</i><br><ol><li>(endearing or humorous, sometimes derogatory) fat person; fatso; fatty</li></ol>
tabatsingtsing|tabátsingtsíng	<i>adj</i><br><ol><li>(endearing or humorous, sometimes derogatory) chubby; fat; obese</li></ol><br><i>noun</i><br><ol><li>(endearing or humorous, sometimes derogatory) fat person; fatso; fatty</li></ol>
tabatsoy|tabatsóy	<i>adj</i><br><ol><li>(endearing or humorous, sometimes derogatory) fat; obese</li></ol><br><i>noun</i><br><ol><li>(endearing or humorous, sometimes derogatory) fat person; fatso</li></ol>
tabaw	<i>noun</i><br><ol><li>ferry</li><li>hopbush (Dodonaea viscosa)</li><li>Tonga mangrove (Lumnitzera racemosa)</li></ol>
tabayag|tabayág	<i>adj</i><br><ol><li>sleeping without a blanket or cover</li></ol><br><i>noun</i><br><ol><li>opo squash; calabash (Lagenaria siceraria)</li></ol>
taberna	<i>noun</i><br><ol><li>pub; tavern</li></ol>
tabernakulo|tabernákuló	<i>noun</i><br><ol><li>(Christianity) tabernacle (small ornamented box used for the reserved sacrament of the Eucharist)</li><li>(biblical) tabernacle (portable tent used before the construction of the temple)</li></ol>
tabi|tabì|tabí	<i>noun</i><br><ol><li>area beside a person or thing</li><li>act of staying adjacent to another</li><li>act of staying or passing along the side or border (of a road, river, etc.)</li><li>edge; border</li><li>condition of being adjacent or being close together</li><li>act of keeping something in a safe place</li><li>act of saving for the future (especially of money)</li><li>savings; anything saved for the future</li></ol><br><i>intj</i><br><ol><li>used to tell or order people to get out of one's way: out of the way!, or excuse me!</li></ol>
tabig	<i>noun</i><br><ol><li>hard backward push or strike with the elbow</li><li>smack with the back of the hand</li></ol>
tabigi|tabigì	<i>noun</i><br><ol><li>cannonball mangrove (Xylocarpus granatum)</li></ol>
tabike|tabikè	<i>noun</i><br><ol><li>light partition wall</li></ol>
tabil|tabíl	<i>noun</i><br><ol><li>talkativeness; garrulity</li><li>temporary screen or curtain used to conceal something on the other side</li></ol>
tabing	<i>noun</i><br><ol><li>screen; curtain</li><li>temporary screen or curtain used to conceal something on the other side</li><li>manner of how a curtain or screen was placed</li></ol>
tabing-kalsada|tabíng{l|tl|kalsada}}	<i>noun</i><br><ol><li>roadside</li></ol>
tabingi|tabingî	<i>adj</i><br><ol><li>unbalanced; unsymmetrical</li><li>askew; awry; not straight</li></ol>
tabla|tablá|tabla	<i>adj</i><br><ol><li>tie; draw (in games, contests, etc.)</li></ol><br><i>noun</i><br><ol><li>tie; draw (in games, contests, etc.)</li><li>(wood) board; sawn board</li><li>lumber; timber</li><li>table; tabular arrangement</li></ol>
tablaw|tabláw	<i>adj</i><br><ol><li>open or exposed to the weather, especially to the rain or sun (of a place)</li></ol>
tablero	<i>noun</i><br><ol><li>checkerboard</li><li>chessboard</li></ol>
tabletas	<i>noun</i><br><ol><li>medicinal tablet</li></ol>
tabliya	<i>noun</i><br><ol><li>chocolate tablet (round tablets of pure ground roasted cacao beans)</li></ol>
tabloyd	<i>noun</i><br><ol><li>tabloid (newspaper having pages half the dimensions of the standard format)</li></ol>
tabo|tabò	<i>noun</i><br><ol><li>tabo (traditional hygiene tool shaped like a dipper or scoop usually made of plastic)</li><li>act of scooping water or liquid with such a tool</li><li>(dialectal) mug made of coconut shell</li><li>(historical) tabo (dipper made of coconut shell and bamboo)</li></ol>
tabog	<i>noun</i><br><ol><li>stamping of the feet in anger, irritation, vexation, etc.</li></ol>
tabol	<i>noun</i><br><ol><li>gas in the stomach or intestines (especially as shown by the sound produced when the abdomen is tapped)</li><li>increase in volume of a certain substances through boiling</li></ol>
tabon|tabón|tabon	<i>noun</i><br><ol><li>heap of soil or dirt used to fill a hole in the ground</li><li>act of filling up or covering a hole in the ground with soil or dirt</li><li>dike of earth used to separate fishponds</li><li>Philippine megapode (Megapodius cumingii)</li></ol>
taboy|tabóy	<i>noun</i><br><ol><li>driving away of animals</li><li>herding of animals</li><li>animals being driven away or being herded</li><li>(by extension) driving away; chasing away (of people)</li><li>prodding or urging someone (to go to a certain place)</li></ol>
tabsik|tabsík	<i>noun</i><br><ol><li>splash of liquid caused by something rolling upon pool of liquid (such as a wheel, ball, etc.)</li></ol>
tabtab|tabtáb	<i>noun</i><br><ol><li>gradual hewing or chopping into a certain size or shape (of wood, stone, etc.)</li></ol>
tabtabin|tatabtabin|atabtabin|tabtab|tinabtab|tabtaba|tinatabtab|inatabtab|tabtabín	<i>verb</i><br><ol><li>to cut by gradual hewing or chopping (of a certain portion of wood, stone, etc.)</li></ol>
taburete	<i>noun</i><br><ol><li>stool (seat without a backrest and armrest)</li></ol>
tadhana|tadhanà|tadhanâ	<i>noun</i><br><ol><li>fate; destiny</li><li>provision; stipulation; term (of an agreement, contract, ordinance, law, etc.)</li><li>determined and fixed time (for payment of debts, completion of an obligation, etc.)</li><li>nature</li><li>(obsolete) secret about a negotiation or affair</li><li>(obsolete) act of preparing something in secret for a purpose</li></ol>
tadtad|tadtád	<i>adj</i><br><ol><li>minced; choppedup into small bits (of meat, etc.)</li><li>fully or thickly covered (with pockmarks, holes, etc.)</li></ol><br><i>noun</i><br><ol><li>mincing; chopping up into small bits (of meat, etc.)</li><li>condition of being fully or thickly covered (with pockmarks, holes, etc.)</li></ol>
tadyak|tadyák	<i>noun</i><br><ol><li>strong kick</li><li>recoil (of a fired gun)</li></ol>
tadyang|tadyáng	<i>noun</i><br><ol><li>(anatomy) rib</li><li>rib (cut of meat enclosing one or more rib bones)</li><li>(botany) rib (main, or any of the prominent veins of a leaf)</li><li>(by extension) rib (part or piece serving to shape or support something, as that of an umbrella)</li></ol>
tae|taé|ᜆᜁ	<i>noun</i><br><ol><li>feces; excrement; dung</li><li>defecation; moving of one's bowels</li><li>(vulgar, offensive) shit; objectionable person</li></ol><br><i>intj</i><br><ol><li>(vulgar) Expression of worry, failure, shock, displeasure, surprise, etc.: shit!</li></ol><br><i>adj</i><br><ol><li>prone to frequent defecation (of a person)</li></ol>
