ܐ ܟ ܠ|ʾ k l	<i>root</i><br><ol><li>forming words pertaining to eating</li></ol>
ܦ̮ܪܡܒܘܙ|prāmbwāzhon|prāmbwāzāwḵon|ܦܪ̈ܵܡܒܘܵܙܲܢ|({{{pl.abs.}}})|ܦ̮ܪܵܡܒܘܵܙܝܼ|prāmbwāzuḵ|ܦ̮ܪܵܡܒܘܵܙܘܼܟ݂|ܦܪ̈ܵܡܒܘܵܙܵܟ݂ܝ|frāmbwāzāḵ|prāmbwāzoh|frāmbwāzāwḵon|ܦ̮ܪܵܡܒܘܵܙܹܗ|frāmbwāzēh|{{{pl.abs.}}}|ܦ̮ܪܵܡܒܘܵܙ|ܦܪ̈ܵܡܒܘܵܙܗܘܿܢ|ܦ̮ܪܵܡܒܘܵܙܘܿܗ̇|ܦܪ̈ܵܡܒܘܵܙܵܘܟ݂ܘܿܢ|ܦܪ̈ܵܡܒܘܵܙܹܗ|prāmbwāzē|frāmbwāzī|ܦܪ̈ܵܡܒܘܵܙܘܼܟ݂|{{{sg.abs.}}}|prāmbwāzan|ܦܪ̈ܵܡܒܘܵܙܹܐ|ܦܪ̈ܵܡܒܘܵܙܘܿܗ̇|ܦ̮ܪܵܡܒܘܵܙܵܟ݂ܝ|ܦ̮ܪܵܡܒܘܵܙܗܘܿܢ|prāmbwāzāḵ|frāmbwāzhon|frāmbwāzoh|frambwaz|{{{sg.cstr.}}}|ܦ̮ܪܵܡܒܘܵܙܲܢ|frāmbwāz|ܦ̮ܪܵܡܒܘܵܙܵܘܟ݂ܘܿܢ|prāmbwāzī|frāmbwāzan|{{{pl.cstr.}}}|ܦ̮ܪ̈ܵܡܒܘܵܙܹܐ|({{{sg.abs.}}})|prāmbwāzēh|frāmbwāzuḵ|ܦܪ̈ܵܡܒܘܵܙܝܼ	<i>noun</i><br><ol><li>raspberry: an edible soft fruit related to the blackberry, consisting of a cluster of reddish-pink drupelets.</li></ol>
ܦܐܬܠܓܢ	<i>noun</i><br><ol><li>eggplant, aubergine</li></ol>
ܦܘܚܐ|ܦܵܘܚܹ̈ܐ|pāwḥēh|pāwḥhon|ܦܵܘܚܲܢ̈|pāwḥ|pāwḥī|pāwḥāwḵon|ܦܵܘܚܲܢ|pāwḥuḵ|pawḥā|ܦܲܘܚܵܐ|ܦܲܘܚܹ̈ܐ|pāwḥā|ܦܵܘܚܵܟ݂ܝ|ܦܵܘܚܹܗ|ܦܵܘܚܗ̈ܘܿܢ|pāwḥan|ܦܵܘܚܲܝ̈|pāwḥoh|ܦܵܘܚܗܘܿܢ|ܦܵܘܚܘܼ̈ܟ݂|ܦܵܘܚܘܼ̈ܗܝ|ܦܵܘܚܝܼ̈|ܦܵܘܚܝܼ|pāwḥuh|ܦܵܘܚ|pāwḥay|ܦܵܘܚ̈ܘܿܗ̇|ܦܵܘܚܵܟ݂ܝ̈|pāwḥē|pāwḥāḵ|ܦܵܘܚܘܿܗ̇|ܦܵܘܚܵܘ̈ܟ݂ܘܿܢ|ܦܵܘܚܵܐ|ܦܵܘܚܵܘܟ݂ܘܿܢ|ܦܵܘܚܘܼܟ݂	<i>noun</i><br><ol><li>wind</li><li>air</li></ol>
ܦܘܠܘܢܝܐ|polonāyā|ܦܘܿܠܘܿܢܵܝܵܐ|ܦܘܿܠܘܿܢܵܝܹ̈ܐ|ܦܘܿܠܘܿܢܵܝܬܵܐ|ܦܘܿܠܘܿܢܝܼܵܐ|polonīyā	<i>name</i><br><ol><li>Poland (a country in Europe; official name: Republic of Poland)</li></ol><br><i>adj</i><br><ol><li>Polish (of, from, or pertaining to Poland, the Polish culture or Polish people)</li></ol><br><i>noun</i><br><ol><li>Polish (person from the country of Poland or of Polish descent)</li></ol>
ܦܘܠܘܣ|pāwlos|ܦܵܘܠܘܿܣ	<i>name</i><br><ol><li>(biblical) Paul (the Apostle)</li></ol>
ܦܘܢܕܐ|pundī|pundā|ܦܘܼܢܕܵܘܟ݂ܘܿܢ|pund|ܦܘܼܢܕܲܢ|punduḵ|ܦܘܼܢܕܹ̈ܐ|pundēh|ܦܘܼܢܕܵܘ̈ܟ݂ܘܿܢ|pundan|ܦܘܼܢܕܗܘܿܢ|ܦܘܼܢܕܵܟ݂ܝ̈|ܦܘܼܢܕ|pundoh|punday|ܦܘܼܢܕܵܐ|pundāwḵon|pundhon|ܦܘܼܢܕܵܟ݂ܝ|ܦܘܼܢܕܹܗ|ܦܘܼܢܕܲܢ̈|ܦܘܼܢܕܘܼܟ݂|ܦܘܼܢܕܘܼ̈ܗܝ|ܦܘܼܢܕܘܼ̈ܟ݂|ܦܘܼܢܕܝܼ̈|ܦܘܼܢܕ̈ܘܿܗ̇|pundē|ܦܘܼܢܕܘܿܗ̇|ܦܘܼܢܕܝܼ|ܦܘܼܢܕܗ̈ܘܿܢ|ܦܘܼܢܕܲܝ̈|pundāḵ|punduh	<i>noun</i><br><ol><li>candle (light source consisting of a wick embedded typically in wax)</li></ol>
ܦܘܪܬܘܓܠ|ܦܘܼܪܬܘܼܓܵܠ|purtugal	<i>name</i><br><ol><li>A country in Europe. Official name: Portuguese Republic</li></ol>
ܦܘܪܬܩܠܐ|ܦܘܼܪܬܩܵܠܘܿܗ̇|ܦܘܼܪܬܩܵܠܵܘܟ݂ܘܿܢ|purtqāloh|ܦܘܼܪܬܩܵܠܵܐ|ܦܘܼܪܬܩܵܠܵܟ݂ܝ|purtqālī|purtqālā|purtqālē|purtqālan|purtqālhon|purtqāl|ܦܘܼܪܬܩܵܠܗܘܿܢ|ܦܘܼܪ̈ܬܩܵܠܵܟ݂ܝ|purtqālēh|ܦܘܼܪ̈ܬܩܵܠܲܝ|ܦܘܼܪܬܩܵܠ|purtqālāwḵon|ܦܘܼܪ̈ܬܩܵܠܘܿܗ̇|ܦܘܼܪ̈ܬܩܵܠܗܘܿܢ|ܦܘܼܪ̈ܬܩܵܠܲܢ|purtqālāḵ|purtqāluḵ|ܦܘܼܪ̈ܬܩܵܠܘܼܟ݂|ܦܘܼܪܬܩܵܠܲܢ|ܦܘܼܪ̈ܬܩܵܠܵܘܟ݂ܘܿܢ|purtqālwh|ܦܘܼܪ̈ܬܩܵܠܹܐ|ܦܘܼܪܬܩܵܠܹܗ|ܦܘܼܪܬܩܵܠܘܼܟ݂|ܦܘܼܪ̈ܬܩܵܠܝܼ|ܦܘܼܪܬܩܵܠܬܵܐ|purtqālay|ܦܘܼܪ̈ܬܩܵܠܘܗܝ	<i>adj</i><br><ol><li>orange</li></ol><br><i>noun</i><br><ol><li>(countable) orange (fruit): A citrus fruit with a sweet flavour.</li><li>(uncountable) orange (color)</li></ol>
ܦܘܫ ܒܫܝܢܐ|poš b-šaynā|ܦܘܿܫ ܒܫܲܝܢܵܐ	<i>intj</i><br><ol><li>goodbye, farewell (to a man)</li></ol>
ܦܘܫ ܒܫܠܡܐ|poš b-šlāmā|ܦܘܿܫ ܒܫܠܵܡܵܐ	<i>intj</i><br><ol><li>goodbye, farewell (to a man)</li></ol>
ܦܘܫܘܢ ܒܫܝܢܐ|pošon b-šaynā|ܦܘܿܫܘܼܢ ܒܫܲܝܢܵܐ	<i>intj</i><br><ol><li>goodbye, farewell (to more than one person)</li></ol>
ܦܘܫܝ ܒܫܝܢܐ|poš b-šaynā|ܦܘܿܫܝ ܒܫܲܝܢܵܐ	<i>intj</i><br><ol><li>goodbye, farewell (to a woman)</li></ol>
ܦܘܫܩ ܡܠܐ|pušāq miluh|pušāqay milī|ܦܘܼܫܵܩ ܡܸܠܹ̈ܐ|ܦܘܼܫܵܩ ܡܸܠܝܼ̈|ܦܘܼܫܵܩ ܡܸܠܵܟ݂ܝ̈|ܦܘܼܫܵܩܲܝ̈ ܡܸܠܗ̈ܘܿܢ|pušāq millāwḵon|ܦܘܼܫܵܩܲܝ̈ ܡܸܠܘܼ̈ܟ݂|ܦܘܼܫܵܩ ܡܸܠܵܘ̈ܟ݂ܘܿܢ|pušāq milī|pušāqay millan|ܦܘܼܫܵܩܲܝ̈ ܡܸܠܵܘ̈ܟ݂ܘܿܢ|ܦܘܼܫܵܩ ܡܸܠܘܼ̈ܟ݂|ܦܘܼܫܵܩ ܡܸܠܗ̈ܘܿܢ|ܦܘܼܫܵܩܲܝ̈ ܡܸܠܹ̈ܐ|pušāqay miluḵ|ܦܘܼܫܵܩ ܡܸܠܲܢ̈|ܦܘܼܫܵܩܲܝ̈ ܡܸܠܘܼ̈ܗܝ|ܦܘܼܫܵܩܲܝ̈ ܡܸܠܝܼ̈|ܦܘܼܫܵܩ ܡܸܠܘܼ̈ܗܝ|pušāqay miluh|ܦܘܼܫܵܩܲܝ̈ ܡܸܠܲܢ̈|pušāq miluḵ|pušāq milhon|pušāq millāḵ|pušāqay millāwḵon|pušāqay miloh|pušāq millan|pušāqay millē|pušāq millē|ܦܘܼܫܵܩ ܡܸܠ̈ܘܿܗ̇|pušāq miloh|ܦܘܼܫܵܩܲܝ̈ ܡܸܠܵܟ݂ܝ̈|pušāqay milhon|ܦܘܼܫܵܩܲܝ̈ ܡܸܠ̈ܘܿܗ̇|pušāqay millāḵ	<i>noun</i><br><ol><li>dictionary (publication that explains the meanings of an ordered list of words)</li></ol>
ܦܘܬܩܐ|putqay|ܦܘܼܬܩܵܟ݂ܝ̈|putquḵ|ܦܘܼܬܩܝܼ|ܦܘܼܬܩܗܘܿܢ|putqhon|ܦܘܼܬܩܵܘܟ݂ܘܿܢ|ܦܘܼܬܩ|ܦܘܼܬܩܲܢ̈|putqēh|ܦܘܼܬܩܲܝ̈|ܦܘܼܬܩܝܼ̈|putqē|putqāḵ|puttqa|putqāwḵon|ܦܘܼܬܩܵܘ̈ܟ݂ܘܿܢ|ܦܘܼܬܩܘܿܗ̇|putquh|ܦܘܼܬܩ̈ܘܿܗ̇|ܦܘܼܬܩܹ̈ܐ|ܦܘܼܬܩܘܼ̈ܟ݂|ܦܘܼܬܩܘܼ̈ܗܝ|ܦܘܼܬܩܹܗ|putqā|putqī|ܦܘܼܬܩܵܐ|ܦܘܼܬܩܲܢ|putq|putqoh|ܦܘܼܬܩܵܟ݂ܝ|putqan|ܦܘܼܬܩܘܼܟ݂|ܦܘܼܬܩܗ̈ܘܿܢ	<i>noun</i><br><ol><li>inn, tavern, hostelry</li><li>hotel</li></ol>
ܦܚܠ|ܦܘܼܚܸܠ ܠܵܘܟ݂ܘܿܢ|paḥḥil|puḥil lī|ܦܘܼܚܸܠ ܠܵܗ̇|ܦܲܚܘܼܠܹܐ|ܦܲܚܠܸܬ|ܦܘܼܚܸܠ ܠܝܼ|paḥlā|ܦܲܚܸܠ|ܦܘܼܚܸܠ ܠܗܘܿܢ|ܦܘܼܚܸܠ ܠܹܗ|ܦܘܼܚܸܠ ܠܘܼܟ݂|puḥil lāḵ|ܦܘܼܚܸܠ ܠܲܢ|ܦܲܚܠܵܢ|puḥil lhon|ܦܲܚܸܠܝ|ܦܲܚܠܵܐ|paḥlān|paḥlīton|ܦܲܚܠܝܼ|puḥil lāh|puḥil lāwḵon|ܦܲܚܠܸܢ|paḥlin|puḥil luḵ|puḥil lan|ܦܘܼܚܸܠ ܠܵܟ݂ܝ|ܦܘܼܚܠܵܐ|paḵil|paḥlaḥ|paḥlī|ܦܲܚܠܵܬܝ|paḥlāt|ܦܲܚܠܲܚ|paḥlit|paḥlun|ܦܲܚܠܝܼܬܘܿܢ|ܦܲܚܠܘܼܢ|puḥil lēh	<i>verb</i><br><ol><li>to forgive, excuse, pardon</li><li>to remit</li></ol>
ܦܚܠܬܐ|paḥḥalātuḵ|ܦܲܚܲܠܵܬܘܼ̈ܟ݂|paḥḥalātēh|paḥḥalātoh|paḵaltā|paḥḥaltuḵ|ܦܲܚܲܠܵܬܵܘ̈ܟ݂ܘܿܢ|ܦܲܚܲܠܬܹܗ|ܦܲܚܲܠܵܬܹ̈ܐ|paḥḥaltan|ܦܲܚܲܠܵܬܹ̈ܗ|ܦܲܚܲܠܬܘܿܗ̇|ܦܲܚܲܠܬܗܘܿܢ|ܦܲܚܲܠܵܬܵܟ݂ܝ̈|paḥḥalātāwḵon|ܦܲܚܲܠܬܘܼܟ݂|paḥḥalātē|paḥḥalāthon|paḥḥalātan|ܦܲܚܲܠܬ|paḥḥaltī|paḥḥal|ܦܲܚܲܠܬܝܼ|ܦܲܚܲܠܬܲܢ|paḥḥaltā|ܦܲܚܲܠܬܵܘܟ݂ܘܿܢ|paḥḥalthon|ܦܲܚܲܠ|paḥḥaltēh|paḥḥaltoh|ܦܲܚܲܠܵܬܝܼ̈|ܦܲܚܲܠܵܬܗ̈ܘܿܢ|paḥḥaltāwḵon|ܦܲܚܲܠܵܬ̈ܘܿܗ̇|paḥḥalt|ܦܲܚܲܠܵܬܲܢ̈|ܦܲܚܲܠܵܬ̈|paḥḥaltāḵ|ܦܲܚܲܠܬܵܟ݂ܝ|paḥḥalāt|paḥḥalātī|paḥḥalātāḵ|ܦܲܚܲܠܬܵܐ	<i>noun</i><br><ol><li>forgiveness, pardon</li></ol><br><i>intj</i><br><ol><li>excuse me, pardon me, sorry</li></ol>
ܦܛܝܚܐ|ܦܲܛܝܼܚܗ̈ܘܿܢ|ܦܲܛܝܼܚܵܘܟ݂ܘܿܢ|ܦܲܛܝܼܚܲܝ̈|ܦܲܛܝܼܚ|ܦܲܛܝܼܚܝܼ̈|paṭīḥē|ܦܲܛܝܼܚܘܼ̈ܗܝ|ܦܲܛܝܼܚ̈ܘܿܗ̇|paṭīḥēh|paṭīḥāḵ|paṭīḥāwḵon|ܦܲܛܝܼܚܵܟ݂ܝ|ܦܲܛܝܼܚܹܗ|ܦܲܛܝܼܚܵܟ݂ܝ̈|ܦܲܛܝܼܚܵܐ|ܦܲܛܝܼܚܘܼ̈ܟ݂|ܦܲܛܝܼܚܘܿܗ̇|paṭīḥī|paṭīḥuḵ|pāṭṭīḳa|ܦܲܛܝܼܚܲܢ̈|paṭīḥ|paṭīḥā|paṭīḥay|ܦܲܛܝܼܚܗܘܿܢ|ܦܲܛܝܼܚܝܼ|paṭīḥhon|paṭīḥuh|ܦܲܛܝܼܚܲܢ|paṭīḥan|ܦܲܛܝܼܚܹ̈ܐ|ܦܲܛܝܼܚܵܘ̈ܟ݂ܘܿܢ|ܦܲܛܝܼܚܘܼܟ݂|paṭīḥoh	<i>noun</i><br><ol><li>melon: the large round fruit of a plant of the gourd family, with sweet pulpy flesh and many seeds.</li><li>watermelon</li></ol>
ܦܝܠܐ|pīl|ܦܝܼܠܘܿܗ̇|ܦܝܵܠܗܘܿܢ|ܦܝܵܠܹܗ|ܦܝܵܠܵܘܟ݂ܘܿܢ|ܦܝܼܠܝܼ̈|pyālā|ܦܝܼܠܵܟ݂ܝ|ܦܝܼܠ|pīluh|pīlan|ܦܝܼܠܝܼ|pīlāwḵon|pyālī|ܦܝܵܠܲܢ̈|ܦܝܵܠܘܿܗ̇|pyālē|ܦܝܵܠܗ̈ܘܿܢ|pīlay|ܦܝܵܠܘܼ̈ܟ݂|ܦܝܼܠܲܢ̈|ܦܝܵܠܝܼ̈|pyālēh|ܦܝܵܠܵܐ|pyālay|ܦܝܵܠܘܼܟ݂|pyālāḵ|pīla|pyāluḵ|ܦܝܵܠܵܟ݂ܝ|ܦܝܵܠܲܝ̈|ܦܝܵܠܝܼ|pyāloh|pīlē|pīloh|ܦܝܼܠܘܼ̈ܗܝ|ܦܝܵܠܘܼ̈ܗܝ|ܦܝܼܠܵܟ݂ܝ̈|pyālhon|ܦܝܼܠܹܗ|ܦܝܼܠܵܘ̈ܟ݂ܘܿܢ|ܦܝܵܠ|ܦܝܵܠܵܘ̈ܟ݂ܘܿܢ|ܦܝܵܠܵܟ݂ܝ̈|ܦܝܵܠܲܢ|ܦܝܼܠܹ̈ܐ|ܦܝܼܠܲܝ̈|ܦܝܼܠܗ̈ܘܿܢ|ܦܝܼܠܲܢ|ܦܝܵܠ̈ܘܿܗ̇|pīlāḵ|pīlī|pīluḵ|ܦܝܼܠܬܵܐ|ܦܝܼܠܘܼܟ݂|ܦܝܵܠܹ̈ܐ|pyāluh|pyala|pyāl|ܦܝܼܠܵܘܟ݂ܘܿܢ|pyālāwḵon|ܦܝܼܠܵܐ|pīlēh|pyālan|pīlhon|ܦܝܼܠ̈ܘܿܗ̇|pīlā|ܦܝܼܠܗܘܿܢ|ܦܝܼܠܘܼ̈ܟ݂	<i>noun</i><br><ol><li>elephant: a very large plant-eating mammal with a prehensile trunk, long curved ivory tusks, and large ears, native to Africa and southern Asia. It is the largest living land animal.</li><li>porringer, bowl: a small bowl, typically with a handle, used for soup, stew, or similar dishes.</li></ol>
ܦܝܢܠܢܕܐ|ܦܝܼܢܠܵܢܕܵܐ|pīnlanda	<i>name</i><br><ol><li>Finland: A Nordic country having borders with Sweden, Norway and Russia. Official name: Republic of Finland.</li></ol>
ܦܝܫ|pīš lāwḵon|ܦܝܼܫ ܠܲܢ|ܦܘܼܫܝ|pāyšī|ܦܝܼܫ ܠܘܼܟ݂|ܦܝܼܫ ܠܗܘܿܢ|pāyšīton|pīš lhon|ܦܝܼܫ ܠܵܟ݂ܝ|ܦܵܝܫܹܬ|pāyēš|ܦܝܼܫ ܠܹܗ|pīš lāḵ|ܦܵܝܫܵܐ|pīš|ܦܵܝܫܵܬܝ|ܦܵܝܫܵܢ|ܦܵܝܫܝܼ|pušon|ܦܝܼܫ ܠܵܗ̇|pāyšaḥ|puš|pāyšēn|ܦܘܼܫ|pāyšā|pīš lī|pāyšēt|pīš lan|ܦܝܼܫܵܐ|ܦܘܼܫܘܿܢ|pīš lāh|pāyšān|pīš lēh|pīš luḵ|ܦܵܝܫܲܚ|ܦܵܝܹܫ|ܦܵܝܫܹܢ|pāyšāt|ܦܝܼܫ ܠܝܼ|ܦܵܝܫܝܼܬܘܿܢ|ܦܝܼܫ|ܦܝܼܫ ܠܵܘܟ݂ܘܿܢ|ܦܝܵܫܵܐ	<i>verb</i><br><ol><li>to become</li><li>to remain</li></ol><br><i>adv</i><br><ol><li>there is/are remaining</li><li>(with ܠܵܐ (lā)) there is/are not remaining</li><li>(with ܗ݇ܘܵܐ (wā)) there was/were remaining</li><li>(with ܠܵܐ (lā) and ܗ݇ܘܵܐ (wā)) there was/were not remaining</li><li>used to indicate new habitual action</li><li>(with ܠܵܐ (lā)) used to indicate the termination of a habitual action</li></ol>
ܦܟܣܛܢ|pakisṭan|ܦܵܟܸܣܛܵܢ	<i>name</i><br><ol><li>A country in South Asia. Official name: Islamic Republic of Pakistan.</li></ol>
ܦܠܓܐ|plaggāwḵon|ܦܠܲܓܘܿܗ̇|ܦܲܠܓܹܗ|ܦܲܠܓܹ̈ܐ|ܦܠܲܓܝܼ|plagī|ܦܲܠܓ|ܦܠܲܓ|ܦܲܠܓܵܘ̈ܟ݂ܘܿܢ|ܦܠܲܓܲܢ̈|ܦܲܠܓܗ̈ܘܿܢ|ܦܲܠܓܲܢ̈|plaggan|plaggē|ܦܠܲܓܲܢ|ܦܠܲܓ̈ܘܿܗ̇|palg|plaguḵ|ܦܲܠܓܵܟ݂ܝ̈|ܦܠܲܓܹܗ|palgoh|ܦܠܲܓܲܝ̈|ܦܠܲܓܗܘܿܢ|ܦܠܲܓܘܼ̈ܗܝ|ܦܲܠܓܘܿܗ̇|plaggay|plagoh|palgī|ܦܠܲܓܹ̈ܐ|ܦܠܲܓܗ̈ܘܿܢ|palguh|ܦܲܠܓܵܟ݂ܝ|ܦܠܲܓܘܼ̈ܟ݂|ܦܲܠܓܘܼ̈ܗܝ|plaggāḵ|ܦܲܠܓܗܘܿܢ|plaggēh|palgēh|palgāwḵon|ܦܲܠܓܘܼ̈ܟ݂|ܦܲܠܓ̈ܘܿܗ̇|ܦܲܠܓܲܝ̈|ܦܠܲܓܵܘܟ݂ܘܿܢ|ܦܲܠܓܝܼ̈|plag|ܦܲܠܓܵܘܟ݂ܘܿܢ|ܦܲܠܓܵܐ|plaggā|ܦܲܠܓܲܢ|palguḵ|ܦܠܲܓܘܼܟ݂|plaghon|palgā|palghon|ܦܠܲܓܵܟ݂ܝ̈|palgāḵ|ܦܠܲܓܵܘ̈ܟ݂ܘܿܢ|ܦܠܲܓܝܼ̈|palgay|ܦܠܲܓܵܟ݂ܝ|plaguh|palgan|ܦܲܠܓܝܼ|ܦܠܲܓܵܐ|palgē|ܦܲܠܓܘܼܟ݂	<i>noun</i><br><ol><li>(fractional number) half (½)</li><li>midst, middle, center/centre</li><li>(anatomy) middle of body; waist, loins, lower belly</li><li>part, portion</li><li>sect, school of thought</li><li>(music) drum, tambourine</li></ol>
ܦܠܓܐ ܕܠܝܠܐ|ܦܲܠܓܵܐ ܕܠܲܝܠܹܐ|palgā d-laylē	<i>noun</i><br><ol><li>(uncountable) midnight</li></ol>
ܦܠܘܛܘܢ|ܦܠܘܼܛܘܿܢ|pluṭon	<i>name</i><br><ol><li>(astronomy) Pluto: Originally known as the ninth planet in the solar system but reclassified in 2006 as a dwarf planet; represented by ♇ and ⯓.</li></ol>
ܦܠܚ|ܦܠܘܿܚ|ܦܵܠܚܵܢ|plīḥ lan|plīḥ lhon|ܦܠܝܼܚ ܠܵܗ̇|pālḥīton|ܦܠܝܼܚܵܐ|ܦܵܠܚܲܚ|pālḥī|ܦܵܠܚܹܬ|plīḥ lāḵ|ܦܠܝܼܚ ܠܹܗ|plīḥ lāwḵon|pālḥēt|ܦܠܝܼܚ ܠܝܼ|pālḥān|ploḥun|ploḥ|ܦܵܠܚܵܐ|ܦܵܠܚܹܢ|ܦܠܝܼܚ ܠܗܘܿܢ|ܦܠܘܿܚܘܼܢ|ܦܵܠܹܚ|ܦܠܝܼܚ ܠܵܟ݂ܝ|ܦܠܵܚܵܐ|ܦܠܘܿܚܝ|pālḥaḥ|ܦܵܠܚܝܼ|ܦܵܠܚܵܬܝ|plīḥ lī|pālḥā|ܦܠܝܼܚ ܠܵܘܟ݂ܘܿܢ|plīḥ luḵ|pālēḥ|pālḥēn|pālḥāt|paleḳ|ܦܵܠܚܝܼܬܘܿܢ|plīḥ lāh|plīḥ lēh|ܦܠܝܼܚ ܠܘܼܟ݂|ܦܠܝܼܚ ܠܲܢ	<i>verb</i><br><ol><li>to work, labour</li></ol>
ܦܠܛ|puliṭ lāh|pālṭīton|ܦܵܠܛܝܼ|ܦܵܠܛܵܬܝ|ܦܲܠܛܵܢ|ܦܘܼܠܸܛ ܠܹܗ|ܦܠܝܼܛ ܠܲܢ|ܦܠܝܼܛ ܠܘܼܟ݂|ܦܠܝܼܛ ܠܵܟ݂ܝ|pālṭēt|ܦܵܠܛܹܬ|palṭā|palliṭ|ܦܲܠܛܝܼ|ܦܠܝܼܛ ܠܹܗ|ploṭ|palṭīton|ܦܠܵܛܵܐ|ܦܠܝܼܛ ܠܝܼ|pālṭā|ܦܠܘܿܛܘܼܢ|ܦܠܘܿܛ|plīṭ luḵ|ploṭun|ܦܠܝܼܛ ܠܵܗ̇|ܦܘܼܠܸܛ ܠܵܗ̇|plīṭ lāh|plīṭ lāwḵon|pālēṭ|ܦܘܼܠܸܛ ܠܵܘܟ݂ܘܿܢ|ܦܵܠܛܵܐ|ܦܠܝܼܛܵܐ|ܦܲܠܸܛ|palṭān|palṭin|pālṭēn|pālṭāt|puliṭ lāḵ|ܦܲܠܛܵܐ|ܦܵܠܹܛ|puliṭ lāwḵon|ܦܲܠܛܲܚ|ܦܠܝܼܛ ܠܵܘܟ݂ܘܿܢ|ܦܘܼܠܸܛ ܠܲܢ|palṭit|plīṭ lan|ܦܠܘܿܛܝ|ܦܲܠܘܼܛܹܐ|pālṭaḥ|ܦܠܝܼܛ ܠܗܘܿܢ|ܦܘܼܠܛܵܐ|plīṭ lāḵ|puliṭ lan|ܦܘܼܠܸܛ ܠܘܼܟ݂|ܦܲܠܛܝܼܬܘܿܢ|ܦܘܼܠܸܛ ܠܝܼ|puliṭ lēh|pālṭī|pālṭān|palṭaḥ|ܦܵܠܛܲܚ|ܦܵܠܛܹܢ|puliṭ lhon|palṭī|plīṭ lēh|ܦܲܠܛܸܬ|ܦܲܠܛܘܼܢ|ܦܲܠܛܸܢ|ܦܵܠܛܵܢ|ܦܵܠܛܝܼܬܘܿܢ|plīṭ lī|ܦܲܠܸܛܝ|palṭun|plīṭ lhon|puliṭ lī|ܦܲܠܛܵܬܝ|palṭāt|ܦܘܼܠܸܛ ܠܵܟ݂ܝ|ܦܘܼܠܸܛ ܠܗܘܿܢ|puliṭ luḵ	<i>verb</i><br><ol><li>(intransitive) to go out, come out, eject, leave</li><li>to go out, date (to take someone out on a romantic meeting)</li><li>to turn out, to end up being</li><li>(transitive) to take out, bring out, eject</li></ol>
ܦܠܝܛܐ|ܦܲܠܝܼܛܵܘ̈ܟ݂ܘܿܢ|palīṭay|palīṭhon|ܦܲܠܝܼܛܘܼܟ݂|ܦܲܠܝܼܛܘܼ̈ܟ݂|pālīṭa|ܦܲܠܝܼܛܵܟ݂ܝ|ܦܲܠܝܼܛܲܝ̈|ܦܲܠܝܼܛܵܟ݂ܝ̈|ܦܲܠܝܼܛܵܐ|ܦܲܠܝܼܛ̈ܘܿܗ̇|palīṭī|ܦܲܠܝܼܛܘܿܗ̇|ܦܲܠܝܼܛܲܢ|ܦܲܠܝܼܛܗ̈ܘܿܢ|palīṭēh|ܦܲܠܝܼܛܗܘܿܢ|palīṭoh|palīṭuḵ|ܦܲܠܝܼܛܹ̈ܐ|ܦܲܠܝܼܛܲܢ̈|palīṭ|ܦܲܠܝܼܛܵܘܟ݂ܘܿܢ|palīṭāḵ|palīṭan|ܦܲܠܝܼܛܘܼ̈ܗܝ|ܦܲܠܝܼܛܹܗ|palīṭē|ܦܲܠܝܼܛ|palīṭuh|ܦܲܠܝܼܛܝܼ̈|ܦܲܠܝܼܛܬܵܐ|palīṭāwḵon|ܦܲܠܝܼܛܝܼ|palīṭā	<i>adj</i><br><ol><li>safe, saved, protected</li></ol><br><i>noun</i><br><ol><li>fugitive, escapee, survivor</li><li>refugee</li><li>(astronomy) planet:</li></ol>
ܦܠܣܛܝܢܐ|ܦܲܠܸܣܛܝܼܢܵܐ|pālisṭīna	<i>noun</i><br><ol><li>(geography) Palestine (especially pre-1948)</li></ol>
ܦܢܓܢܐ|pingānāḵ|ܦܸܢܓܵܢܝܼ̈|pingānāwḵon|ܦܸܢܓܵܢܵܘܟ݂ܘܿܢ|ܦܸܢܓܵܢܲܢ|ܦܸܢܓܵܢܵܐ|ܦܸܢܓܵܢܘܼ̈ܗܝ|pingānuḵ|pingānī|pingān|pingānē|pingānā|ܦܸܢܓܵܢܗܘܿܢ|ܦܸܢܓܵܢܹ̈ܐ|pingānhon|ܦܸܢܓܵܢܝܼ|pingānan|ܦܸܢܓܵܢܵܘ̈ܟ݂ܘܿܢ|ܦܸܢܓܵܢܲܢ̈|pingānuh|pingānēh|ܦܸܢܓܵܢܘܼܟ݂|ܦܸܢܓܵܢܵܟ݂ܝ̈|ܦܸܢܓܵܢ|ܦܸܢܓܵܢܘܿܗ̇|pingānoh|pingānay|ܦܸܢܓܵܢܗ̈ܘܿܢ|ܦܸܢܓܵܢܲܝ̈|ܦܸܢܓܵܢ̈ܘܿܗ̇|ܦܸܢܓܵܢܵܟ݂ܝ|ܦܸܢܓܵܢܘܼ̈ܟ݂|ܦܸܢܓܵܢܹܗ	<i>noun</i><br><ol><li>teacup (small cup, normally sitting in a saucer as part of a tea set, commonly used for drinking tea)</li><li>gill (a drink measure of one quarter of a pint, for spirits and wine)</li></ol>
