.	<i>punct</i><br><ol><li>Used to mark ordinal numbers, pronounced -garren.</li></ol>
neure burua|beren buruarengana|elkarrengan|zeure bururantz|bere buruaren|geure buruarengandik|elkarren|geure buruari|geure buruarengatik|bere buruarekin|bere buruarengan|bere burutik|euren buruarekin|zeure buruarenganantz|heure buruarentzat|zeure buruarekin|bere buruko|elkarrengatik|beren buruan|neure bururako|zeure buruarengan|euren buruak|geure buruarekin|elkarrengandik|euren bururako|zeure buruarenganako|euren buruko|geure buruarenganako|zeuen burua|beren buruarentzat|zeure buruarenganaino|beren buruarenganaino|beren buruko|bere buruarengatik|neure buruko|bere bururako|zeure bururaino|beren bururantz|zeuen buruarengana|geure buruaz|euren buruarengan|zeure buruarengana|zeure burura|neure buruarenganako|neure buruaren|neure bururaino|zeuen buruarengandik|euren burua|elkarrekin|zeuen buruarengatik|heure buruarengandik|beren buruak|neure buruan|elkarrenganaino|neure buruaz|beren bururaino|elkarrenganantz|geure buruak|geure buruaren|euren buruaren|neure buruarekin|zeuen buruaren|neure buruarengatik|zeuen buruak|euren buruarengatik|zeuen buruarengan|zeuen buruko|geure buruko|neure bururantz|neure buruarengana|neure buruarengandik|zeure buruaren|heure buruaz|beren bururako|beren burutik|heure burua|zeuen buruarentzat|heure buruko|bere buruarenganaino|beren buruarengan|heure buruarekin|bere buruarenganako|bere burura|zeuen bururako|zeuen buruarenganako|elkarrez|elkar|heure bururaino|heure buruaren|heure buruarengatik|beren buruaz|euren buruarengana|bere buruaz|heure buruarengan|geure buruarenganaino|geure buruan|geure bururako|euren buruarenganako|beren buruarengandik|neure buruari|geure buruarengana|heure buruarengana|zeuen buruari|beren buruaren|elkarrenganako|zeure buruarengandik|bere bururaino|heure buruarenganaino|zeure bururako|geure buruarenganantz|euren buruarenganaino|heure burura|zeuen buruarekin|heure buruan|zeure buruari|bere buruarengana|zeuen bururaino|zeure burutik|neure buruarenganantz|heure bururantz|beren buruarengatik|euren buruari|zeuen buruarenganaino|geure burua|beren burua|neure buruarenganaino|elkarri|zeure buruan|bere buruarentzat|euren burutik|zeure buruarentzat|euren buruarenganantz|bere buruari|beren buruarenganako|euren buruarengandik|euren bururantz|zeure burua|euren buruarentzat|bere buruarenganantz|neure buruarengan|zeure buruarengatik|heure bururako|heure buruarenganantz|elkarrentzat|geure bururaino|neure burutik|heure burutik|neure buruarentzat|beren buruari|euren buruaz|geure buruarengan|geure burura|geure burutik|heure buruarenganako|zeuen burutik|zeure buruaz|euren bururaino|zeuen buruaz|beren buruarenganantz|neure burua|heure buruari|beren buruarekin|euren buruan|bere bururantz|bere buruan|geure buruarentzat|euren burura|neure burura|zeuen buruan|zeuen burura|elkarrengana|zeuen bururantz|beren burura|bere burua|geure bururantz|zeuen buruarenganantz|bere buruarengandik|zeure buruko	<i>pron</i><br><ol><li>First-person singular reflexive pronoun; myself</li></ol>
neurri|neurriraino|neurrientzat|neurriko|neurrietarako|neurritarantz|neurriei|neurritako|neurrian|neurriari|neurrirantz|neurriez|neurriekin|neurriak|neurriarentzat|neurrietarantz|neurritatik|neurrirengatik|neurrietatik|neurritzat|neurriengatik|neurrietan|neurriren|neurriri|neurrirako|neurriarekin|neurritan|neurriaren|neurriz|neurrira|neurrietako|neurriek|neurria|neurritaraino|neurrirentzat|neurriaz|neurriarengatik|neurrik|neurrirekin|neurrien|neurririk|neurritara|neurrietaraino|neurritik|neurrietara|neurritarako	<i>noun</i><br><ol><li>measure</li><li>size, dimension</li></ol>
neutroi|neutroiei|neutroitarako|neutroiko|neutroitan|neutroiarengatik|neutroitako|neutroietarantz|neutroientzat|neutroietara|neutroitatik|neutroirengatik|neutroietako|neutroiren|neutroira|neutroietatik|neutroiek|neutroitzat|neutroirekin|neutroirik|neutroirentzat|neutroiaz|neutroian|neutroien|neutroiarentzat|neutroitara|neutroiraino|neutroirantz|neutroiarekin|neutroiri|neutroiari|neutroitik|neutroia|neutroiez|neutroitarantz|neutroiekin|neutroiaren|neutroirako|neutroietan|neutroiengatik|neutroik|neutroitaraino|neutroietaraino|neutroietarako|neutroiak|neutroiz	<i>noun</i><br><ol><li>neutron</li></ol>
nezaguen	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, past indicative form of ezagutu.</li></ol>
nezaguke	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, future consequential indicative form of ezagutu.</li></ol>
nezaguzke	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person plural (haiek) as direct object, future consequential indicative form of ezagutu.</li></ol>
nezaguzkien	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person plural (haiek) as direct object, past indicative form of ezagutu.</li></ol>
ni|nire baitarat|hitaz|heuregan|geuganaino|neuregatik|neuretzat|zeuen baitako|geureganantz|ene baitatik|heuregandik|neurekin|zeureganako|heutaz|nire|nigatik|guregatik|geuk|zuenganik|neure|neugan|heugandik|heure baitarat|zuenganako|zeugandik|ni|neuregana|heuganik|zuen baitara|nireganaino|zuganako|guganako|gu baitara|gureganako|zeuen|neuregaino|heurekin|gu baitaraino|gure baitaraino|zeurekin|zeureganaino|guregandik|geugan|hirekin|gugana|guregana|gure baitara|zuengatik|hiretako|zure baitaraino|nireganat|geure|heuretako|niregan|zeuengandik|zuretzat|zuregandik|nire baitako|zu|zure baitatik|neu|zuengana|enez|zure baitara|heugatik|hiregana|zeuenganako|nire baitaraino|zuen baitarik|heureganantz|zuek|zu baitara|zuekin|zureganik|zeuekin|eneganat|zurekin|guganat|zugatik|zutan|gutan|geuregan|zuetan|gureganantz|gureganik|geutaz|zeuri|hitan|zuregana|zeuetaz|guganik|hiregandik|zeuregana|heuretzat|gu baitatik|geu|zeureganik|eneen|ene baitan|hire baitara|enetzat|zuentzat|neugandik|nitan|zugandik|hire baitarik|neuganantz|hire|zure|geugana|nire baitara|geuregandik|zeuganik|zu baitaraino|heuri|zeuretzat|hireganantz|geuretako|niregandik|zuenganat|zeuganaino|nitaz|hireganat|heure baitaraino|zeure baitako|zuen baitan|enea|zuen baitatik|zeuek|eneganaino|higatik|gure baitan|zuregatik|geureganik|gure baitatik|neuretako|zeuendako|higanaino|hiregan|gure baitako|gureganat|enekin|zuganat|zureganat|zure baitarik|heureganaino|zu baitarik|heureganik|zeureganantz|heureganako|nirekin|hire baitarat|gu baitarat|geuganik|geure baitako|heuganaino|ene baitarik|zure baitako|zuengandik|heure baitan|heuregana|higanako|zeuenganaino|geuganantz|zeuk|zeutaz|nire baitan|ene baitarat|eneganantz|guganaino|neuri|niretzat|zuen baitako|heure baitatik|hiregatik|hire baitako|zeuregan|nireganantz|neutaz|guretzat|neuganik|gure baitarik|nire baitatik|zuretako|zure baitan|gu baitako|enegatik|geureganako|zeu|heure baitarik|gure baitarat|ene baitako|eneganako|niretako|gureganaino|gu baitarik|gurekin|hire baitan|hire baitaraino|zureganaino|guretako|ene|gure|nireganako|zuk|niri|nireganik|heuganantz|zuganaino|enek|hik|gugandik|higanik|nik|heuk|geurekin|heuregatik|geuretzat|geugandik|hireganik|nigan|zuendako|higanantz|heu|hireganako|eneganik|neuk|gutaz|neugatik|guregan|geuri|neureganako|higan|hire baitatik|hi|zuen baitaraino|zuen baitarat|guri|geuganako|zeuregandik|eneren|ene baitara|zeure|zeugan|zeuengana|geureganaino|zuen|nire baitarik|zeuenganantz|eneri|zuengan|enegandik|zureganako|zu baitatik|gu|zuetaz|zeuei|guganantz|zeugana|geuregana|hireganaino|zuenganantz|enegan|enetako|zu baitarat|zuenganaino|niganantz|zureganantz|niganako|zugana|zuganik|zeuganantz|zutaz|heure baitako|heure baitara|gugatik|zeuenganik|hiri|higandik|neure baitako|niregatik|enegana|zeuengan|zu baitako|heugana|guk|zugan|gugan|zeuganako|zeuretako|hiretzat|heure|zuri|zuei|zuregan|zuganantz|zeuentzat|niregana|zure baitarat|heuganako	<i>pron</i><br><ol><li>First-person singular personal pronoun; I</li></ol>
niharduen	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, past indicative form of jardun.</li></ol>
nihardukake	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, future consequential indicative form of iharduki.</li></ol>
nihardukan	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, past indicative form of iharduki.</li></ol>
niharduke	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, future consequential indicative form of jardun.</li></ol>
nindezaguan	<i>verb</i><br><ol><li>Informal second-person singular masculine (hik), taking first-person singular (ni) as direct object, past indicative form of ezagutu.</li></ol>
nindezaguen	<i>verb</i><br><ol><li>Third-person singular (hark), taking first-person singular (ni) as direct object, past indicative form of ezagutu.</li></ol>
nindezaguke	<i>verb</i><br><ol><li>Third-person singular (hark), taking first-person singular (ni) as direct object, future consequential indicative form of ezagutu.</li></ol>
nindezagukek	<i>verb</i><br><ol><li>Informal second-person singular masculine (hik), taking first-person singular (ni) as direct object, future consequential indicative form of ezagutu.</li></ol>
nindezaguken	<i>verb</i><br><ol><li>Informal second-person singular feminine (hik), taking first-person singular (ni) as direct object, future consequential indicative form of ezagutu.</li></ol>
nindezagukete	<i>verb</i><br><ol><li>Third-person plural (haiek), taking first-person singular (ni) as direct object, future consequential indicative form of ezagutu.</li></ol>
nindezagukezu	<i>verb</i><br><ol><li>Second-person singular (zuk), taking first-person singular (ni) as direct object, future consequential indicative form of ezagutu.</li></ol>
nindezagukezue	<i>verb</i><br><ol><li>Second-person plural (zuek), taking first-person singular (ni) as direct object, future consequential indicative form of ezagutu.</li></ol>
nindezagunan	<i>verb</i><br><ol><li>Informal second-person singular feminine (hik), taking first-person singular (ni) as direct object, past indicative form of ezagutu.</li></ol>
nindezaguten	<i>verb</i><br><ol><li>Third-person plural (haiek), taking first-person singular (ni) as direct object, past indicative form of ezagutu.</li></ol>
nindezaguzuen	<i>verb</i><br><ol><li>Second-person plural (zuek), taking first-person singular (ni) as direct object, past indicative form of ezagutu.</li></ol>
nindezaguzun	<i>verb</i><br><ol><li>Second-person singular (zuk), taking first-person singular (ni) as direct object, past indicative form of ezagutu.</li></ol>
nindoake	<i>verb</i><br><ol><li>First-person singular (ni) future consequential indicative form of joan.</li><li>First-person singular (ni) future potential form of joan.</li></ol>
nindoakeen	<i>verb</i><br><ol><li>First-person singular (ni) past consequential indicative form of joan.</li><li>First-person singular (ni) past potential form of joan.</li></ol>
nindoan	<i>verb</i><br><ol><li>First-person singular (ni) past indicative form of joan.</li><li>First-person singular (ni) past subjunctive form of joan.</li></ol>
ninduan	<i>verb</i><br><ol><li>Informal second-person singular masculine (hik), taking first-person singular (ni) as direct object, past indicative form of izan.</li></ol>
ninduen	<i>verb</i><br><ol><li>Third-person singular (hark), taking first-person singular (ni) as direct object, past indicative form of izan.</li></ol>
nindunan	<i>verb</i><br><ol><li>Informal second-person singular feminine (hik), taking first-person singular (ni) as direct object, past indicative form of izan.</li></ol>
ninduten	<i>verb</i><br><ol><li>Third-person plural (haiek), taking first-person singular (ni) as direct object, past indicative form of izan.</li></ol>
ninduzuen	<i>verb</i><br><ol><li>Second-person plural (zuek), taking first-person singular (ni) as direct object, past indicative form of izan.</li></ol>
ninduzun	<i>verb</i><br><ol><li>Second-person singular (zuk), taking first-person singular (ni) as direct object, past indicative form of izan.</li></ol>
ninteke	<i>verb</i><br><ol><li>First-person singular (ni) future potential form of izan.</li></ol>
nintekeen	<i>verb</i><br><ol><li>First-person singular (ni) past potential form of izan.</li></ol>
nintzateke	<i>verb</i><br><ol><li>First-person singular (ni) future consequential indicative form of izan.</li></ol>
nintzatekeen	<i>verb</i><br><ol><li>First-person singular (ni) past consequential indicative form of izan.</li></ol>
nintzen	<i>verb</i><br><ol><li>First-person singular (ni) past indicative form of izan.</li></ol>
nirauen	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, past indicative form of iraun.</li></ol>
nirauke	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, future consequential indicative form of iraun.</li></ol>
nirudien	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, past indicative form of irudi.</li></ol>
nirudike	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person singular (hura) as direct object, future consequential indicative form of irudi.</li></ol>
nitrogeno|nitrogenoa|nitrogenoarekin|nitrogenoarentzat|nitrogenoan|nitrogenotzat|nitrogenoz|nitrogenoaren|nitrogenoak|nitrogenoaz|nitrogenorik|nitrogenoarengatik|nitrogenoari	<i>noun</i><br><ol><li>nitrogen</li></ol>
nituen	<i>verb</i><br><ol><li>First-person singular (nik), taking third-person plural (haiek) as direct object, past indicative form of izan.</li></ol>
noa	<i>verb</i><br><ol><li>First-person singular (ni) present indicative form of joan.</li></ol>
noake	<i>verb</i><br><ol><li>First-person singular (ni) present potential form of joan.</li></ol>
noan	<i>verb</i><br><ol><li>First-person singular (ni) present subjunctive form of joan.</li></ol>
noar	<i>noun</i><br><ol><li>star</li></ol>
noetherdar|noetherdarra|noetherdarrera|noetherdarrarekin|noetherdarrik|noetherdarreraino|noetherdarrarengan|noetherdarraren|noetherdarrengatik|noetherdarrentzat|noetherdarrengan|noetherdarren|noetherdarretako|noetherdarrenganaino|noetherdarrarentzat|noetherdarretarantz|noetherdarrarengana|noetherdarrei|noetherdarri|noetherdarrarengatik|noetherdarrerako|noetherdarrengandik|noetherdarrenganako|noetherdarrez|noetherdarrarengandik|noetherdarrak|noetherdarretik|noetherdarreko|noetherdarrarenganako|noetherdarretarako|noetherdarrek|noetherdarretatik|noetherdarretaraino|noetherdarrenganantz|noetherdarretara|noetherdarraz|noetherdarrarenganaino|noetherdarrari|noetherdarretan|noetherdarrarenganantz|noetherdarrekin|noetherdarrengana|noetherdarrean|noetherdartzat|noetherdarrerantz	<i>adj</i><br><ol><li>noetherian</li></ol>
nola	<i>adv</i><br><ol><li>how</li></ol>
nor|zeinentzat|zeintzuenganantz|zertan|zeinetara|norako|zeren|zeintzuekin|zertara|zeintzuez|nongo|zeintzuetara|zereko|zenbatentzat|zeinek|norengatik|zeintzuetaraino|nortzuekin|zeintzuentzat|zenbatenganantz|zertzat|zenbatetaz|zeinetatik|zenbatenganaino|nortzuengan|zenbatengan|zenbatek|zenbatengandik|zerentzat|zeinengatik|nortzuen|zerez|nortzat|zenbatetako|zenbateko|nortzuengandik|zeinekin|zeintzuetarantz|zenbatetarako|norentzat|zeinetarako|zeintzuengan|zeintzuetarako|zenbatengatik|zeinenganako|nortzuek|norengana|zeinenganantz|zenbatetatik|norengan|nortzuenganako|zeintzuk|zeinenganaino|zertarantz|zenbatean|zeinetan|zeintzuengandik|zeintzuetako|zenbatetaraino|zenbatetarantz|noren|zeintzuengana|zeri|zerk|nortzuentzat|norenganaino|norenganako|nork|zer|nortzuengana|zeini|nortzuenganantz|zergatik|zenbati|zenbatekin|nori|zeinetako|zeinengan|nondik|zeinez|zeintzuei|zeintzuenganaino|zertaz|non|zeinen|zerekin|zeinetaraino|zertarako|noraino|zeintzuengatik|zenbat|zenbatez|nortzuk|zeintzuek|norekin|zeinetarantz|zeintzuen|nortzuetaz|zeintzuetaz|zenbatetara|nora|nortzuengatik|zertatik|zertaraino|nortzuei|zeinengana|zeinengandik|zeinetaz|zein|nor|nortaz|zenbaten|nortzuenganaino|zeintzuetan|zeintzuetatik|zenbatetan|zenbatengana|norenganantz|norengandik|norantz|zeintzuenganako|zenbatenganako	<i>pron</i><br><ol><li>(interrogative) who</li></ol><br><i>adj</i><br><ol><li>(grammatical term, used as a modifier) (of a verb) intransitive without a dative argument</li></ol>
