(h)eakkë	<i>adv</i><br><ol><li>suddenly</li></ol>
čeaksë|čeaksëtē|čeak̯s̯ëjnë|čeak̯s̯ëjnē|čeak̯s̯ëptāk̯ëk|čeak̯s̯ëjstē|čeak̯s̯ëm|čeaksënē|čeak̯s̯ëk|čeak̯s̯ën|čeak̯s̯ësnē|čeaksës̯ën|čeak̯s̯ëjtē|čeak̯s̯ëstē|čeak̯s̯ëj	<i>noun</i><br><ol><li>omasum (third part of ruminant's stomach)</li></ol>
čealōtēk	<i>verb</i><br><ol><li>to jump around</li></ol>
čeappē|čeappēs	<i>adj</i><br><ol><li>skilled, adept</li></ol>
čeapēttē|čeap̯ēttētē|čeap̯ēttēnē|čeap̯ēttē|čeap̯ēt̯t̯ēsnē|čeap̯ēt̯t̯ējnē|čeap̯ēt̯t̯ējtē|čeap̯ēt̯t̯ēstē|čeap̯ēt̯t̯ēn|čeap̯ēt̯t̯ēj|čeap̯ēt̯t̯ējstē|čeap̯ēt̯t̯ēm|čeap̯ēt̯t̯ējnë|čeap̯ēt̯t̯ēptāk̯ëk|čeap̯ēttās̯ën|čeap̯ēt̯t̯ēk	<i>noun</i><br><ol><li>neck</li></ol>
čearō|čear̯ōstē|čear̯ōjstē|čearus̯ën|čear̯ōn|čear̯ujnë|čear̯ōjnē|čearōtē|čear̯ōk|čear̯ōj|čear̯ōptāk̯ëk|čearōnē|čear̯ōm|čear̯ōjtē|čear̯ōsnē	<i>noun</i><br><ol><li>treeless felltop</li></ol>
čeavrēs|čeavrās̯ëjnē|čeavrās̯ëj|čeav̯r̯ēsnē|čeavrās̯ën|čeavrās̯ëstē|čeav̯r̯ās̯s̯ën|čeavrās̯ëjnë|čeavrās̯ëjstē|čeavrās̯ëptāk̯ëk|čeav̯r̯ēs|čeav̯r̯ēstē|čeavrās̯ëk|čeavrās̯ëm|čeavrās̯ësnē|čeavrās̯ëjtē	<i>noun</i><br><ol><li>otter</li></ol>
čeavčē|čeav̯č̯ijstē|čeav̯č̯ijnē|čeav̯č̯ēstē|čeav̯č̯ēn|čeav̯č̯ēm|čeav̯č̯ēptāk̯ëk|čeavčētē|čeavčēnē|čeavčās̯ën|čeav̯č̯ijnë|čeav̯č̯ij|čeav̯č̯ēsnē|čeav̯č̯ijtē|čeav̯č̯ēk	<i>noun</i><br><ol><li>hock (joint, of reindeer or other animal)</li></ol>
čieckëtēk	<i>verb</i><br><ol><li>to split, to cleave</li></ol>
čiektëtēk	<i>verb</i><br><ol><li>to fix a net</li></ol>
čiekër|čiekër̯ëm|čiekër̯ëjstē|čiekër̯ësnē|čiek̯ër̯s̯ën|čiekër̯ëk|čiek̯ërtē|čiekër̯ëj|čiek̯ërnē|čiek̯ër|čiekër̯ën|čiekër̯ëjtē|čiekër̯ëjnë|čiekër̯ëptāk̯ëk|čiekër̯ëjnē|čiekër̯ëstē	<i>noun</i><br><ol><li>winter pasture for reindeer</li></ol>
čiekëtēk	<i>verb</i><br><ol><li>to hide, to conceal</li></ol>
čiekčë|čiek̯č̯ëjnē|čiek̯č̯ëj|čiek̯č̯ëk|čiekčënē|čiekčës̯ën|čiek̯č̯ëjstē|čiek̯č̯ëptāk̯ëk|čiek̯č̯ëm|čiek̯č̯ëstē|čiek̯č̯ësnē|čiek̯č̯ëjnë|čiek̯č̯ën|čiekčëtē|čiek̯č̯ëjtē	<i>noun</i><br><ol><li>osprey</li></ol>
čiekčëtēk	<i>verb</i><br><ol><li>to kick</li></ol>
čielkëjëtēk	<i>verb</i><br><ol><li>to make clear</li></ol>
čielkës|čielkë	<i>adj</i><br><ol><li>clear, transparent</li></ol>
čielkëtēk	<i>verb</i><br><ol><li>to become clear</li></ol>
čielkē|čiel̯k̯ēn|čiel̯k̯ēstē|čiel̯k̯ēsnē|čielkētē|čiel̯k̯ijtē|čiel̯k̯ij|čielkās̯ën|čiel̯k̯ijstē|čiel̯k̯ēk|čiel̯k̯ēm|čiel̯k̯ijnë|čiel̯k̯ijnē|čiel̯k̯ēptāk̯ëk|čielkēnē	<i>noun</i><br><ol><li>back (body part)</li></ol>
čieppë|čieppënē|čiep̯p̯ëj|čiep̯p̯ëjstē|čiep̯p̯ëptāk̯ëk|čiep̯p̯ëk|čiep̯p̯ën|čiep̯p̯ësnē|čiep̯p̯ëm|čiep̯p̯ëjnë|čieppës̯ën|čiep̯p̯ëstē|čiep̯p̯ëjnē|čieppëtē|čiep̯p̯ëjtē	<i>noun</i><br><ol><li>fowl's resting hole in snow</li></ol>
čieppëtēk	<i>verb</i><br><ol><li>to sink</li></ol>
čierrēkkē	<i>noun</i><br><ol><li>tern</li></ol>
čierëstētēk	<i>verb</i><br><ol><li>to ride downhill</li></ol>
čiečëm	<i>num</i><br><ol><li>seven</li></ol>
čieŋkëm	<i>noun</i><br><ol><li>bone shard</li><li>marrowless bone</li></ol>
čieŋël|čieŋëlēs	<i>adj</i><br><ol><li>deep</li></ol>
čimpē|čim̯p̯ijstē|čim̯p̯ijtē|čim̯p̯ēk|čim̯p̯ij|čimpēnē|čim̯p̯ēstē|čimpās̯ën|čim̯p̯ijnë|čimpētē|čim̯p̯ijnē|čim̯p̯ēn|čim̯p̯ēm|čim̯p̯ēptāk̯ëk|čim̯p̯ēsnē	<i>noun</i><br><ol><li>shin</li></ol>
čimë|čimënē|čimës̯ën|čim̯ëjstē|čim̯ëj|čimëtē|čim̯ëjnē|čim̯ëk|čim̯ën|čim̯ësnē|čim̯ëstē|čim̯ëm|čim̯ëptāk̯ëk|čim̯ëjtē|čim̯ëjnë	<i>noun</i><br><ol><li>curved tip of a ski or sled</li></ol>
činōtēk	<i>verb</i><br><ol><li>to harden</li></ol>
čiptētēk	<i>verb</i><br><ol><li>to bend</li></ol>
čivkë|čiv̯k̯ëjstē|čivkëtē|čiv̯k̯ëm|čiv̯k̯ëptāk̯ëk|čiv̯k̯ëj|čiv̯k̯ëjnē|čiv̯k̯ëstē|čiv̯k̯ëk|čiv̯k̯ësnē|čivkënē|čiv̯k̯ën|čiv̯k̯ëjnë|čivkës̯ën|čiv̯k̯ëjtē	<i>noun</i><br><ol><li>young animal</li></ol>
čivlē|čiv̯l̯ēn|čiv̯l̯ijtē|čiv̯l̯ēm|čiv̯l̯ēk|čiv̯l̯ij|čiv̯l̯ēptāk̯ëk|čivlēnē|čivlētē|čiv̯l̯ijnë|čivlās̯ën|čiv̯l̯ēstē|čiv̯l̯ijnē|čiv̯l̯ijstē|čiv̯l̯ēsnē	<i>noun</i><br><ol><li>wart</li></ol>
čivrōs|čivrus̯ëjnē|čivrus̯ëk|čivrus̯ëm|čivrus̯ësnē|čivrus̯ëjnë|čivrus̯ëptāk̯ëk|čiv̯r̯ōs|čivrus̯ën|čiv̯r̯us̯s̯ën|čivrus̯ëj|čivrus̯ëjstē|čivrus̯ëjtē|čiv̯r̯ōstē|čiv̯r̯ōsnē|čivrus̯ëstē	<i>noun</i><br><ol><li>nit</li></ol>
čińčē|čiń̯č̯ijstē|čiń̯č̯ēstē|čiń̯č̯ijnë|čiń̯č̯ijtē|čińčēnē|čiń̯č̯ij|čińčētē|čiń̯č̯ijnē|čiń̯č̯ēsnē|čiń̯č̯ēptāk̯ëk|čiń̯č̯ēm|čiń̯č̯ēn|čiń̯č̯ēk|čińčās̯ën	<i>noun</i><br><ol><li>breast (of a woman)</li></ol>
čoacō(j)|j|čoacō	<i>noun</i><br><ol><li>rotten tree</li></ol>
čoakkëjëtēk	<i>verb</i><br><ol><li>to bring together, to gather, to collect</li></ol>
čoakkënëtēk	<i>verb</i><br><ol><li>to come together, to gather</li></ol>
čoalmē|čoal̯m̯ēptāk̯ëk|čoal̯m̯ēk|čoal̯m̯ēstē|čoal̯m̯ēm|čoal̯m̯ijtē|čoal̯m̯ijnē|čoal̯m̯ēsnē|čoalmēnē|čoal̯m̯ij|čoalmētē|čoalmās̯ën|čoal̯m̯ijstē|čoal̯m̯ijnë|čoal̯m̯ēn	<i>noun</i><br><ol><li>strait</li></ol>
čoalē|čoal̯ijnē|čoal̯ēptāk̯ëk|čoal̯ēstē|čoal̯ijtē|čoal̯ijnë|čoal̯ēsnē|čoal̯ēm|čoalās̯ën|čoalēnē|čoal̯ēk|čoal̯ij|čoalētē|čoal̯ijstē|čoal̯ēn	<i>noun</i><br><ol><li>intestine</li></ol>
čoamōttēs	<i>noun</i><br><ol><li>withers of a reindeer</li></ol>
čoanē	<i>noun</i><br><ol><li>reindeer's load, pulk</li></ol>
čoapčēs|čoapčās̯ëm|čoapčās̯ësnē|čoapčās̯ëjnë|čoapčās̯ëk|čoapčās̯ëjstē|čoapčās̯ëptāk̯ëk|čoapčās̯ëj|čoapčās̯ëjnē|čoap̯č̯ēstē|čoapčās̯ëstē|čoap̯č̯ās̯s̯ën|čoapčās̯ëjtē|čoap̯č̯ēsnē|čoap̯č̯ēs|čoapčās̯ën	<i>noun</i><br><ol><li>calfless reindeer doe</li></ol>
čoarvē|čoar̯v̯ijtē|čoar̯v̯ij|čoar̯v̯ijnē|čoar̯v̯ēk|čoarvētē|čoar̯v̯ēstē|čoarvēnē|čoarvās̯ën|čoar̯v̯ēm|čoar̯v̯ēn|čoar̯v̯ijstē|čoar̯v̯ijnë|čoar̯v̯ēsnē|čoar̯v̯ēptāk̯ëk	<i>noun</i><br><ol><li>horn</li></ol>
čoavjē|čoav̯j̯ij|čoavjās̯ën|čoavjētē|čoav̯j̯ēsnē|čoav̯j̯ēstē|čoav̯j̯ijtē|čoav̯j̯ēk|čoav̯j̯ijstē|čoav̯j̯ēptāk̯ëk|čoavjēnē|čoav̯j̯ijnë|čoav̯j̯ēn|čoav̯j̯ēm|čoav̯j̯ijnē	<i>noun</i><br><ol><li>stomach</li></ol>
čoavtētēk	<i>verb</i><br><ol><li>to open</li></ol>
čoaŋkētēk	<i>verb</i><br><ol><li>to pick, to collect</li></ol>
čoaδkē|čoaδ̯k̯ēk|čoaδ̯k̯ijtē|čoaδkētē|čoaδ̯k̯ēptāk̯ëk|čoaδ̯k̯ijnē|čoaδkās̯ën|čoaδ̯k̯ēn|čoaδkēnē|čoaδ̯k̯ij|čoaδ̯k̯ēsnē|čoaδ̯k̯ijnë|čoaδ̯k̯ēstē|čoaδ̯k̯ēm|čoaδ̯k̯ijstē	<i>noun</i><br><ol><li>goldeneye (species of duck)</li></ol>
čockë|čockës̯ën|čoc̯k̯ëm|čoc̯k̯ëstē|čoc̯k̯ëjstē|čoc̯k̯ëjnē|čockëtē|čockënē|čoc̯k̯ëjtē|čoc̯k̯ësnē|čoc̯k̯ëk|čoc̯k̯ëj|čoc̯k̯ën|čoc̯k̯ëptāk̯ëk|čoc̯k̯ëjnë	<i>noun</i><br><ol><li>log</li></ol>
čokkë|čok̯k̯ëjtē|čok̯k̯ëstē|čok̯k̯ëjstē|čokkëtē|čokkës̯ën|čok̯k̯ëm|čok̯k̯ën|čok̯k̯ëk|čokkënē|čok̯k̯ëjnē|čok̯k̯ësnē|čok̯k̯ëptāk̯ëk|čok̯k̯ëjnë|čok̯k̯ëj	<i>noun</i><br><ol><li>point, tip</li></ol>
čokëtēk	<i>verb</i><br><ol><li>to sharpen</li></ol>
čokōtēk	<i>verb</i><br><ol><li>to comb</li></ol>
čolkëtēk	<i>verb</i><br><ol><li>to spit</li></ol>
čolōtēk	<i>verb</i><br><ol><li>to spit out</li></ol>
čomë|čom̯ëm|čom̯ëptāk̯ëk|čom̯ëjtē|čomëtē|čom̯ën|čom̯ëjnē|čom̯ëstē|čomës̯ën|čom̯ësnē|čomënē|čom̯ëj|čom̯ëk|čom̯ëjnë|čom̯ëjstē	<i>noun</i><br><ol><li>pile</li></ol>
čontëk|čon̯t̯ëk̯s̯ën|čontëk̯ëjstē|čon̯t̯ëk|čontëk̯ëjtē|čontëk̯ën|čontëk̯ëk|čontëk̯ësnē|čon̯t̯ëktē|čontëk̯ëstē|čontëk̯ëptāk̯ëk|čontëk̯ëjnë|čon̯t̯ëknē|čontëk̯ëm|čontëk̯ëj|čontëk̯ëjnē	<i>noun</i><br><ol><li>throat, esophagus</li></ol>
čorkë	<i>adj</i><br><ol><li>tightly</li></ol>
čorkëtē	<i>adj</i><br><ol><li>tight</li></ol>
čormë|čor̯m̯ësnē|čor̯m̯ëptāk̯ëk|čor̯m̯ëm|čor̯m̯ëjtē|čor̯m̯ën|čor̯m̯ëjstē|čor̯m̯ëk|čor̯m̯ëjnë|čor̯m̯ëstē|čormëtē|čor̯m̯ëjnē|čormës̯ën|čormënē|čor̯m̯ëj	<i>noun</i><br><ol><li>fist</li></ol>
čornëtēk	<i>verb</i><br><ol><li>to jump out</li></ol>
čorëk|čorëk̯ëm|čorëk̯ëk|čorëk̯ëjtē|čorëk̯ësnē|čorëk̯ëjstē|čorëk̯ëjnē|čor̯ëktē|čorëk̯ëjnë|čorëk̯ëptāk̯ëk|čor̯ëk̯s̯ën|čorëk̯ëstē|čor̯ëk|čor̯ëknē|čorëk̯ëj|čorëk̯ën	<i>noun</i><br><ol><li>small group of reindeer</li></ol>
čorō|čor̯ōsnē|čor̯ōjtē|čor̯ōm|čor̯ōk|čor̯ujnë|čor̯ōjnē|čor̯ōptāk̯ëk|čorōtē|čor̯ōj|čor̯ōstē|čor̯ōn|čorus̯ën|čorōnē|čor̯ōjstē	<i>noun</i><br><ol><li>ridge</li></ol>
čukčē|čukčētē|čuk̯č̯ēm|čuk̯č̯ēstē|čuk̯č̯ijstē|čukčēnē|čuk̯č̯ij|čuk̯č̯ijnē|čuk̯č̯ēk|čuk̯č̯ēn|čuk̯č̯ēsnē|čuk̯č̯ijnë|čuk̯č̯ēptāk̯ëk|čuk̯č̯ijtē|čukčās̯ën	<i>noun</i><br><ol><li>capercaillie</li></ol>
čulkumë	<i>noun</i><br><ol><li>side of a shoe</li></ol>
čuocētēk	<i>verb</i><br><ol><li>to hit</li><li>to rain</li></ol>
čuojkëtēk	<i>verb</i><br><ol><li>to ski</li></ol>
čuojëtēk	<i>verb</i><br><ol><li>to play (music)</li></ol>
čuokē|čuokētē|čuokēnē|čuok̯ijnë|čuok̯ijtē|čuok̯ijnē|čuok̯ij|čuokās̯ën|čuok̯ijstē|čuok̯ēk|čuok̯ēptāk̯ëk|čuok̯ēsnē|čuok̯ēm|čuok̯ēn|čuok̯ēstē	<i>noun</i><br><ol><li>ground frost</li></ol>
čuokōs|čuokus̯ëstē|čuok̯ōstē|čuokus̯ën|čuokus̯ëm|čuokus̯ëjstē|čuokus̯ësnē|čuok̯us̯s̯ën|čuokus̯ëjnë|čuok̯ōsnē|čuokus̯ëjtē|čuok̯ōs|čuokus̯ëj|čuokus̯ëk|čuokus̯ëptāk̯ëk|čuokus̯ëjnē	<i>noun</i><br><ol><li>(winter) road</li></ol>
čuolkōj|čuolkuj̯ëjtē|čuol̯k̯uj̯s̯ën|čuolkuj̯ëjstē|čuolkuj̯ëptāk̯ëk|čuol̯k̯ōj|čuolkuj̯ëjnē|čuolkuj̯ën|čuolkuj̯ësnē|čuol̯k̯ōjtē|čuolkuj̯ëjnë|čuolkuj̯ëk|čuol̯k̯ōjnē|čuolkuj̯ëj|čuolkuj̯ëm|čuolkuj̯ëstē	<i>noun</i><br><ol><li>log</li></ol>
čuolmë|čuol̯m̯ësnē|čuol̯m̯ëjnë|čuolmës̯ën|čuolmënē|čuol̯m̯ëptāk̯ëk|čuol̯m̯ëk|čuol̯m̯ëjnē|čuol̯m̯ëstē|čuol̯m̯ëjstē|čuolmëtē|čuol̯m̯ëjtē|čuol̯m̯ëm|čuol̯m̯ën|čuol̯m̯ëj	<i>noun</i><br><ol><li>knot</li></ol>
čuoltë|čuol̯t̯ën|čuol̯t̯ëjnē|čuol̯t̯ësnē|čuoltëtē|čuol̯t̯ëjnë|čuol̯t̯ëstē|čuol̯t̯ëjstē|čuol̯t̯ëk|čuol̯t̯ëm|čuol̯t̯ëptāk̯ëk|čuoltënē|čuol̯t̯ëjtē|čuol̯t̯ëj|čuoltës̯ën	<i>noun</i><br><ol><li>tree stump</li><li>pillar</li></ol>
čuoltētēk	<i>verb</i><br><ol><li>to separate</li></ol>
čuolëtēk	<i>verb</i><br><ol><li>to chop</li></ol>
čuomë|čuom̯ëjtē|čuom̯ën|čuom̯ëptāk̯ëk|čuomëtē|čuom̯ëk|čuom̯ëj|čuomënē|čuomës̯ën|čuom̯ëstē|čuom̯ëjnë|čuom̯ëjstē|čuom̯ësnē|čuom̯ëjnē|čuom̯ëm	<i>noun</i><br><ol><li>fish skin</li></ol>
čuomër	<i>noun</i><br><ol><li>gravel</li></ol>
čuomā	<i>noun</i><br><ol><li>crowberry</li></ol>
čuoppëtēk	<i>verb</i><br><ol><li>to cut</li></ol>
čuorkë	<i>adj</i><br><ol><li>gray</li></ol>
čuorkëtē	<i>adj</i><br><ol><li>gray</li></ol>
čuormës|čuormës̯ëjnē|čuormës̯ëjstē|čuormës̯ësnē|čuormës̯ëstē|čuormës̯ëptāk̯ëk|čuormës̯ëjnë|čuormës̯ëj|čuormës̯ëk|čuormës̯ëm|čuormës̯ëjtē|čuor̯m̯ësnē|čuor̯m̯ës|čuormës̯ën|čuor̯m̯ës̯s̯ën|čuor̯m̯ëstē	<i>noun</i><br><ol><li>hailstone</li></ol>
čuorpē|čuorpēs	<i>adj</i><br><ol><li>unskilled</li></ol>
čuorvëjëtēk	<i>verb</i><br><ol><li>to shout once</li></ol>
čuorvōtēk	<i>verb</i><br><ol><li>to yell</li></ol>
čuoskōtēk	<i>verb</i><br><ol><li>to gallop</li></ol>
čuosē	<i>noun</i><br><ol><li>white forehead</li></ol>
čuotē|čuot̯ēstē|čuot̯ēsnē|čuot̯ijnë|čuot̯ēn|čuotētē|čuot̯ijstē|čuot̯ēm|čuot̯ēk|čuot̯ijtē|čuot̯ēptāk̯ëk|čuot̯ijnē|čuotēnē|čuot̯ij|čuotās̯ën	<i>num</i><br><ol><li>hundred</li></ol>
čuovjë	<i>adj</i><br><ol><li>grey</li><li>blue</li></ol>
čuovjëtē	<i>adj</i><br><ol><li>grey</li><li>blue</li></ol>
čuovčë|čuov̯č̯ësnē|čuov̯č̯ëj|čuov̯č̯ëjtē|čuov̯č̯ën|čuov̯č̯ëjnë|čuovčëtē|čuovčës̯ën|čuov̯č̯ëstē|čuovčënē|čuov̯č̯ëjstē|čuov̯č̯ëjnē|čuov̯č̯ëk|čuov̯č̯ëptāk̯ëk|čuov̯č̯ëm	<i>noun</i><br><ol><li>common whitefish</li></ol>
čuovōtēk	<i>verb</i><br><ol><li>to follow</li></ol>
čuońčōtēk	<i>verb</i><br><ol><li>to stand</li></ol>
čuoŋkōtēk	<i>verb</i><br><ol><li>to stick (something into)</li></ol>
čuoŋvuntëtēk	<i>verb</i><br><ol><li>to become light</li><li>to dawn</li></ol>
čuoŋvë|čuoŋvës̯ën|čuoŋvëtē|čuoŋvënē|čuoŋ̯v̯ëm|čuoŋ̯v̯ëptāk̯ëk|čuoŋ̯v̯ëk|čuoŋ̯v̯ëjnē|čuoŋ̯v̯ëjtē|čuoŋ̯v̯ëjstē|čuoŋ̯v̯ëstē|čuoŋ̯v̯ëjnë|čuoŋ̯v̯ën|čuoŋ̯v̯ëj|čuoŋ̯v̯ësnē	<i>noun</i><br><ol><li>light (rays)</li></ol>
čuoŋvëttētēk	<i>verb</i><br><ol><li>to make clear</li><li>to illuminate, to shine light on</li></ol>
čuoŋvëtē	<i>adj</i><br><ol><li>clear</li><li>light, shining</li></ol>
čuoškë|čuoš̯k̯ën|čuoškës̯ën|čuoškëtē|čuoš̯k̯ëjtē|čuoš̯k̯ëstē|čuoš̯k̯ësnē|čuoš̯k̯ëjnē|čuoš̯k̯ëjstē|čuoš̯k̯ëjnë|čuoš̯k̯ëk|čuoš̯k̯ëj|čuoš̯k̯ëptāk̯ëk|čuoškënē|čuoš̯k̯ëm	<i>noun</i><br><ol><li>mosquito</li></ol>
čuppë|čup̯p̯ën|čup̯p̯ëjnē|čuppës̯ën|čup̯p̯ëjnë|čup̯p̯ëm|čup̯p̯ësnē|čuppënē|čuppëtē|čup̯p̯ëk|čup̯p̯ëstē|čup̯p̯ëjstē|čup̯p̯ëjtē|čup̯p̯ëptāk̯ëk|čup̯p̯ëj	<i>noun</i><br><ol><li>hat</li><li>peak</li></ol>
čuvδē|čuv̯δ̯ēsnē|čuv̯δ̯ijtē|čuvδēnē|čuvδās̯ën|čuv̯δ̯ēstē|čuv̯δ̯ēk|čuv̯δ̯ēptāk̯ëk|čuv̯δ̯ēm|čuv̯δ̯ijstē|čuv̯δ̯ēn|čuv̯δ̯ijnē|čuv̯δ̯ijnë|čuvδētē|čuv̯δ̯ij	<i>noun</i><br><ol><li>forefinger, index finger</li></ol>
čuδē|čuδ̯ēstē|čuδās̯ën|čuδ̯ijnē|čuδ̯ijnë|čuδ̯ēsnē|čuδēnē|čuδ̯ijtē|čuδ̯ij|čuδ̯ijstē|čuδ̯ēm|čuδ̯ēptāk̯ëk|čuδ̯ēk|čuδētē|čuδ̯ēn	<i>noun</i><br><ol><li>persecutor</li></ol>
čëckētēk	<i>verb</i><br><ol><li>to hit</li><li>to throw</li></ol>
čëkkijētēk	<i>verb</i><br><ol><li>to escape</li></ol>
čëkër|čëkër̯ëk|čëkër̯ën|čëkër̯ëjnē|čëkër̯ëm|čëkër̯ëstē|čëk̯ërnē|čëkër̯ëj|čëk̯ër̯s̯ën|čëk̯ërtē|čëkër̯ëjstē|čëkër̯ëjnë|čëkër̯ëptāk̯ëk|čëkër̯ëjtē|čëk̯ër|čëkër̯ësnē	<i>noun</i><br><ol><li>cartilage</li></ol>
čëkërtētēk	<i>verb</i><br><ol><li>to tickle</li></ol>
čëkčë|čëk̯č̯ëptāk̯ëk|čëkčënē|čëk̯č̯ëm|čëk̯č̯ëjnē|čëkčës̯ën|čëkčëtē|čëk̯č̯ëj|čëk̯č̯ën|čëk̯č̯ësnē|čëk̯č̯ëstē|čëk̯č̯ëk|čëk̯č̯ëjstē|čëk̯č̯ëjtē|čëk̯č̯ëjnë	<i>noun</i><br><ol><li>autumn</li></ol>
čëkē|čëk̯ij|čëk̯ijstē|čëkās̯ën|čëk̯ēn|čëk̯ijnē|čëk̯ijnë|čëkēnē|čëk̯ēstē|čëkētē|čëk̯ēm|čëk̯ijtē|čëk̯ēptāk̯ëk|čëk̯ēk|čëk̯ēsnē	<i>noun</i><br><ol><li>clump of snow</li></ol>
čëlkëtēk	<i>verb</i><br><ol><li>to break off</li><li>to sink</li></ol>
čëlmës|čëlmës̯ën|čëlmës̯ëjnē|čëlmës̯ëk|čëlmës̯ësnē|čël̯m̯ësnē|čëlmës̯ëstē|čëlmës̯ëjnë|čël̯m̯ëstē|čëlmës̯ëptāk̯ëk|čël̯m̯ës̯s̯ën|čëlmës̯ëjtē|čëlmës̯ëjstē|čëlmës̯ëj|čëlmës̯ëm|čël̯m̯ës	<i>noun</i><br><ol><li>reticulum (second stomach)</li></ol>
čëlmē|čël̯m̯ēsnē|čël̯m̯ijstē|čël̯m̯ēk|čël̯m̯ēstē|čël̯m̯ij|čëlmās̯ën|čël̯m̯ijnë|čël̯m̯ēn|čël̯m̯ijnē|čëlmēnē|čël̯m̯ēptāk̯ëk|čëlmētē|čël̯m̯ēm|čël̯m̯ijtē	<i>noun</i><br><ol><li>eye</li></ol>
čëlmētteamē|čëlmēttēs	<i>adj</i><br><ol><li>blind</li></ol>
čëlëtēk	<i>verb</i><br><ol><li>to rub dead skin off the antlers</li></ol>
čëlāmë	<i>noun</i><br><ol><li>tusk</li></ol>
čënëtēk	<i>verb</i><br><ol><li>to tie</li></ol>
čëpō	<i>adj</i><br><ol><li>whole, intact, unbroken</li></ol>
čërkē|čër̯k̯ēptāk̯ëk|čër̯k̯ijtē|čërkēnē|čërkās̯ën|čër̯k̯ijstē|čër̯k̯ēn|čër̯k̯ij|čër̯k̯ēk|čër̯k̯ēsnē|čër̯k̯ēstē|čër̯k̯ijnë|čër̯k̯ēm|čër̯k̯ijnē|čërkētē	<i>noun</i><br><ol><li>stripe, streak</li><li>strip</li></ol>
čëvkë	<i>adv</i><br><ol><li>tight</li><li>hard</li></ol>
čëvēlkē|čëv̯ēl̯k̯ēsnē|čëv̯ēl̯k̯ēm|čëv̯ēl̯k̯ējnë|čëv̯ēl̯k̯ēn|čëv̯ēl̯k̯ēstē|čëv̯ēl̯k̯ēj|čëv̯ēl̯k̯ējnē|čëv̯ēl̯k̯ēptāk̯ëk|čëv̯ēlkē|čëv̯ēl̯k̯ēk|čëv̯ēlkās̯ën|čëv̯ēl̯k̯ējtē|čëv̯ēlkēnē|čëv̯ēl̯k̯ējstē|čëv̯ēlkētē	<i>noun</i><br><ol><li>back (of the body)</li><li>ridge</li></ol>
čëδë|čëδ̯ëm|čëδ̯ëjtē|čëδ̯ëj|čëδënē|čëδ̯ësnē|čëδ̯ëstē|čëδëtē|čëδ̯ën|čëδës̯ën|čëδ̯ëptāk̯ëk|čëδ̯ëjnë|čëδ̯ëk|čëδ̯ëjstē|čëδ̯ëjnē	<i>noun</i><br><ol><li>coal, charcoal</li></ol>
čëδëk	<i>adv</i><br><ol><li>through</li></ol>
čëδēm|čëδām̯ëm|čëδām̯ëjnē|čëδām̯ësnē|čëδām̯ëstē|čëδ̯ēm|čëδ̯ēmnē|čëδ̯ām̯s̯ën|čëδām̯ëjstē|čëδām̯ëk|čëδām̯ën|čëδām̯ëjtē|čëδām̯ëj|čëδām̯ëjnë|čëδām̯ëptāk̯ëk|čëδ̯ēmtē	<i>noun</i><br><ol><li>heart</li></ol>
čācē|čāc̯ijnē|čāc̯ēm|čāc̯ēstē|čāc̯ij|čāc̯ijnë|čāc̯ēk|čāc̯ēsnē|čāc̯ijstē|čācās̯ën|čācētē|čāc̯ijtē|čāc̯ēn|čāc̯ēptāk̯ëk|čācēnē	<i>noun</i><br><ol><li>water</li></ol>
čājānëtēk	<i>verb</i><br><ol><li>to err, to go astray</li></ol>
čājētētēk	<i>verb</i><br><ol><li>to err, to go astray</li></ol>
čākëtēk	<i>verb</i><br><ol><li>to fit</li></ol>
čālëk|čālëk̯ëj|čāl̯ëknē|čālëk̯ën|čālëk̯ëjnē|čālëk̯ëk|čālëk̯ëm|čālëk̯ëstē|čāl̯ëktē|čālëk̯ëjstē|čālëk̯ëjnë|čāl̯ëk̯s̯ën|čālëk̯ësnē|čāl̯ëk|čālëk̯ëjtē|čālëk̯ëptāk̯ëk	<i>noun</i><br><ol><li>carving, writing</li></ol>
čālētēk	<i>verb</i><br><ol><li>to slit</li><li>to carve, to write</li></ol>
čānā	<i>noun</i><br><ol><li>polypore</li></ol>
čāppë	<i>adj</i><br><ol><li>black</li></ol>
čāppëtē	<i>adj</i><br><ol><li>black</li></ol>
čāprōtēk	<i>verb</i><br><ol><li>to squeeze</li></ol>
čātvō	<i>noun</i><br><ol><li>ice pick, chisel for breaking ice</li></ol>
čāvŋē|čāvŋētē|čāv̯ŋ̯ēsnē|čāv̯ŋ̯ij|čāv̯ŋ̯ijnē|čāv̯ŋ̯ijtē|čāv̯ŋ̯ēn|čāv̯ŋ̯ēstē|čāvŋēnē|čāv̯ŋ̯ijnë|čāv̯ŋ̯ijstē|čāvŋās̯ën|čāv̯ŋ̯ēm|čāv̯ŋ̯ēptāk̯ëk|čāv̯ŋ̯ēk	<i>noun</i><br><ol><li>support beam</li></ol>
čāŋëtēk	<i>verb</i><br><ol><li>to enter</li></ol>
